gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
778563,1,0,119,0,0,0,0
778563,1,1,112,0,0,0,1
778563,2,0,119,0,0,0,2
778563,2,1,112,1,2,0,1
778563,3,0,119,0,0,0,0
778563,3,1,112,0,1,0,1
778563,4,0,119,0,0,0,2
778563,4,1,112,0,0,0,0
778563,5,0,119,3,3,0,1
778563,5,1,112,0,0,1,0
778563,6,0,119,0,1,0,2
778563,6,1,112,0,0,1,0
778563,7,0,119,0,0,0,1
778563,7,1,112,0,0,0,0
778563,8,0,119,0,1,0,1
778563,8,1,112,0,0,0,1
778563,9,0,119,1,2,0,2
778563,9,1,112,0,0,0,0
778870,1,0,116,0,0,0,0
778870,1,1,142,0,1,0,1
778870,2,0,116,0,1,0,1
778870,2,1,142,0,1,0,0
778870,3,0,116,0,1,0,1
778870,3,1,142,1,1,0,1
778870,4,0,116,0,0,0,0
778870,4,1,142,4,4,0,1
778870,5,0,116,0,0,0,0
778870,5,1,142,0,0,0,0
778870,6,0,116,3,3,0,2
778870,6,1,142,0,0,0,0
778870,7,0,116,0,0,0,0
778870,7,1,142,0,2,0,2
778870,8,0,116,0,1,0,2
778870,8,1,142,0,0,0,0
778870,9,0,116,3,1,0,2
778870,9,1,142,0,1,1,1
779025,1,0,143,1,1,0,0
779025,1,1,134,0,0,0,0
779025,2,0,143,0,0,0,0
779025,2,1,134,0,2,0,2
779025,3,0,143,0,0,0,0
779025,3,1,134,0,1,0,1
779025,4,0,143,0,0,0,1
779025,4,1,134,0,1,0,1
779025,5,0,143,0,0,0,0
779025,5,1,134,0,0,0,0
779025,6,0,143,1,3,0,2
779025,6,1,134,0,0,0,0
779025,7,0,143,0,2,0,3
779025,7,1,134,0,1,0,1
779025,8,0,143,0,0,0,1
779025,8,1,134,0,0,0,1
779025,9,0,143,0,0,0,0
779025,9,1,134,3,3,0,0
779062,1,0,146,1,1,0,0
779062,1,1,138,1,0,0,1
779062,2,0,146,0,2,0,2
779062,2,1,138,0,1,0,0
779062,3,0,146,0,0,0,0
779062,3,1,138,0,1,0,1
779062,4,0,146,0,0,0,0
779062,4,1,138,0,0,0,0
779062,5,0,146,2,3,0,0
779062,5,1,138,0,1,0,1
779062,6,0,146,0,0,0,0
779062,6,1,138,1,2,0,1
779062,7,0,146,0,1,0,2
779062,7,1,138,2,3,0,2
779062,8,0,146,0,0,0,0
779062,8,1,138,0,0,0,0
779062,9,0,146,1,4,0,3
779062,9,1,138,0,1,0,1
779043,1,0,111,0,1,0,1
779043,1,1,147,0,0,1,0
779043,2,0,111,0,0,0,0
779043,2,1,147,0,0,0,0
779043,3,0,111,0,1,0,1
779043,3,1,147,0,0,0,0
779043,4,0,111,0,0,1,0
779043,4,1,147,2,3,0,2
779043,5,0,111,0,0,0,0
779043,5,1,147,0,0,0,1
779043,6,0,111,2,1,1,0
779043,6,1,147,2,1,0,1
779043,7,0,111,1,2,0,1
779043,7,1,147,0,1,0,2
779043,8,0,111,1,0,0,1
779043,8,1,147,0,0,0,0
779043,9,0,111,0,0,0,0
779043,9,1,147,0,0,0,0
778812,1,0,108,0,1,0,1
778812,1,1,113,0,0,0,0
778812,2,0,108,0,0,0,1
778812,2,1,113,0,1,0,1
778812,3,0,108,0,0,0,1
778812,3,1,113,1,3,0,1
778812,4,0,108,0,0,0,0
778812,4,1,113,0,0,0,0
778812,5,0,108,0,0,0,0
778812,5,1,113,0,0,0,0
778812,6,0,108,0,0,0,0
778812,6,1,113,0,2,0,2
778812,7,0,108,0,0,0,0
778812,7,1,113,0,0,0,1
778812,8,0,108,0,2,0,1
778812,8,1,113,0,0,0,0
778812,9,0,108,0,0,0,0
778812,9,1,113,,0,0,0
779001,1,0,158,3,4,0,0
779001,1,1,136,0,0,0,0
779001,2,0,158,0,1,0,1
779001,2,1,136,0,0,0,0
779001,3,0,158,0,0,0,1
779001,3,1,136,4,5,0,0
779001,4,0,158,0,0,0,0
779001,4,1,136,0,1,0,1
779001,5,0,158,0,0,0,0
779001,5,1,136,2,2,0,1
779001,6,0,158,0,0,0,0
779001,6,1,136,3,3,0,1
779001,7,0,158,0,0,0,0
779001,7,1,136,0,1,0,1
779001,8,0,158,0,0,0,2
779001,8,1,136,0,1,2,1
779001,9,0,158,0,1,0,2
779001,9,1,136,,0,0,0
778716,1,0,120,0,0,0,1
778716,1,1,117,0,0,0,0
778716,2,0,120,0,0,1,0
778716,2,1,117,1,1,0,1
778716,3,0,120,0,1,0,2
778716,3,1,117,1,3,0,2
778716,4,0,120,2,1,0,2
