gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
778732,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final,120,Washington Nationals,4,117,Houston Astros,3,5000,CACTI Park of the Palm Beaches,9
778769,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final,121,New York Mets,4,111,Boston Red Sox,6,4309,JetBlue Park,9
779036,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final,116,Detroit Tigers,10,134,Pittsburgh Pirates,4,2526,LECOM Park,9
778881,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final: Tied,139,Tampa Bay Rays,5,142,Minnesota Twins,5,2862,Lee Health Sports Complex,9
778912,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final,110,Baltimore Orioles,4,143,Philadelphia Phillies,5,2700,BayCare Ballpark,9
778706,2025-03-02T18:05:00Z,2025-03-02,1,S,F,Final,147,New York Yankees,1,144,Atlanta Braves,11,5380,CoolToday Park,9
778957,2025-03-02T18:07:00Z,2025-03-02,1,S,F,Final,143,Philadelphia Phillies,4,141,Toronto Blue Jays,5,2536,TD Ballpark,9
779078,2025-03-02T18:10:00Z,2025-03-02,1,S,F,Final,138,St. Louis Cardinals,3,146,Miami Marlins,5,2520,Roger Dean Chevrolet Stadium,9
778749,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final,113,Cincinnati Reds,7,112,Chicago Cubs,3,4629,Sloan Park,9
779146,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final,119,Los Angeles Dodgers,8,133,Athletics,4,2507,Hohokam Stadium,9
778986,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final,108,Los Angeles Angels,5,137,San Francisco Giants,9,2532,Scottsdale Stadium,9
778935,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final,109,Arizona Diamondbacks,3,140,Texas Rangers,6,2603,Surprise Stadium,9
778860,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final,145,Chicago White Sox,3,119,Los Angeles Dodgers,6,3809,Camelback Ranch,9
778833,2025-03-02T20:05:00Z,2025-03-02,1,S,F,Final: Tied,158,Milwaukee Brewers,12,114,Cleveland Guardians,12,3834,Goodyear Ballpark,9
779013,2025-03-02T20:10:00Z,2025-03-02,1,S,F,Final,118,Kansas City Royals,10,135,San Diego Padres,4,2530,Peoria Stadium,9
778799,2025-03-02T20:10:00Z,2025-03-02,1,S,F,Final,136,Seattle Mariners,1,115,Colorado Rockies,6,4249,Salt River Fields at Talking Stick,9
