gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777326,1,0,133,0,0,0,0
777326,1,1,147,0,1,0,0
777326,2,0,133,0,1,0,1
777326,2,1,147,0,0,0,1
777326,3,0,133,0,0,0,0
777326,3,1,147,0,0,0,2
777326,4,0,133,1,1,0,0
777326,4,1,147,0,0,0,0
777326,5,0,133,0,1,0,1
777326,5,1,147,0,0,0,0
777326,6,0,133,3,1,0,0
777326,6,1,147,0,1,0,1
777326,7,0,133,0,1,0,2
777326,7,1,147,0,0,0,0
777326,8,0,133,3,2,0,1
777326,8,1,147,0,1,1,1
777326,9,0,133,0,1,0,1
777326,9,1,147,0,0,0,1
777324,1,0,142,0,1,0,1
777324,1,1,116,0,1,0,1
777324,2,0,142,0,0,0,0
777324,2,1,116,1,2,0,1
777324,3,0,142,2,2,0,0
777324,3,1,116,1,3,0,2
777324,4,0,142,0,1,0,1
777324,4,1,116,3,2,0,0
777324,5,0,142,0,0,0,0
777324,5,1,116,1,1,0,0
777324,6,0,142,0,1,0,1
777324,6,1,116,1,3,0,2
777324,7,0,142,0,0,0,1
777324,7,1,116,1,1,0,2
777324,8,0,142,2,2,0,0
777324,8,1,116,2,2,0,2
777324,9,0,142,1,1,0,0
777324,9,1,116,,0,0,0
777325,1,0,121,1,3,0,2
777325,1,1,134,0,1,0,1
777325,2,0,121,0,1,0,2
777325,2,1,134,3,5,0,3
777325,3,0,121,0,2,0,2
777325,3,1,134,0,1,0,1
777325,4,0,121,0,1,0,1
777325,4,1,134,0,0,0,0
777325,5,0,121,1,2,0,1
777325,5,1,134,0,1,0,1
777325,6,0,121,0,0,0,1
777325,6,1,134,0,0,0,0
777325,7,0,121,0,0,0,0
777325,7,1,134,0,0,0,0
777325,8,0,121,0,0,0,0
777325,8,1,134,6,4,0,2
777325,9,0,121,0,1,0,1
777325,9,1,134,,0,0,0
777330,1,0,139,4,5,0,1
777330,1,1,110,0,1,1,2
777330,2,0,139,0,0,0,0
777330,2,1,110,0,0,0,0
777330,3,0,139,0,0,0,1
777330,3,1,110,0,1,0,0
777330,4,0,139,4,2,0,0
777330,4,1,110,0,0,1,1
777330,5,0,139,1,1,0,1
777330,5,1,110,1,1,0,0
777330,6,0,139,0,0,0,1
777330,6,1,110,0,0,0,0
777330,7,0,139,2,3,0,1
777330,7,1,110,0,0,0,0
777330,8,0,139,0,1,1,0
777330,8,1,110,0,1,0,2
777330,9,0,139,0,2,0,1
777330,9,1,110,2,3,0,2
777322,1,0,136,0,0,0,0
777322,1,1,140,0,1,0,0
777322,2,0,136,0,1,0,0
777322,2,1,140,0,1,0,1
777322,3,0,136,1,1,1,1
777322,3,1,140,2,2,0,1
777322,4,0,136,0,0,0,2
777322,4,1,140,0,1,0,1
777322,5,0,136,0,0,0,0
777322,5,1,140,0,0,0,1
777322,6,0,136,1,2,0,1
777322,6,1,140,0,0,0,0
777322,7,0,136,0,0,0,0
777322,7,1,140,0,0,0,1
777322,8,0,136,0,1,0,1
777322,8,1,140,0,0,0,0
777322,9,0,136,0,1,0,0
777322,9,1,140,0,0,0,1
777322,10,0,136,0,0,0,1
777322,10,1,140,1,1,0,3
777319,1,0,119,0,1,0,2
777319,1,1,118,0,1,0,1
777319,2,0,119,0,0,0,1
777319,2,1,118,0,0,0,0
777319,3,0,119,0,1,0,2
777319,3,1,118,2,3,0,1
777319,4,0,119,0,0,0,1
777319,4,1,118,0,0,0,0
777319,5,0,119,0,1,1,1
777319,5,1,118,4,4,0,0
777319,6,0,119,0,1,0,2
777319,6,1,118,0,1,0,1
777319,7,0,119,1,1,0,0
777319,7,1,118,3,4,0,2
777319,8,0,119,0,0,0,0
777319,8,1,118,0,1,0,1
777319,9,0,119,4,5,0,2
777319,9,1,118,,0,0,0
777328,1,0,135,0,1,0,1
777328,1,1,113,1,3,0,2
777328,2,0,135,0,1,0,2
777328,2,1,113,2,4,0,2
777328,3,0,135,0,0,0,0
777328,3,1,113,0,0,0,0
777328,4,0,135,0,2,0,3
777328,4,1,113,0,1,0,1
777328,5,0,135,1,3,0,2
777328,5,1,113,1,1,0,1
777328,6,0,135,2,2,0,0
777328,6,1,113,0,1,0,1
777328,7,0,135,3,2,0,0
777328,7,1,113,0,0,0,0
777328,8,0,135,0,1,0,1
777328,8,1,113,0,0,0,0
777328,9,0,135,0,0,0,0
777328,9,1,113,0,0,0,2
777329,1,0,138,1,2,0,2
777329,1,1,114,0,1,0,1
777329,2,0,138,0,1,0,1
777329,2,1,114,0,0,1,0
777329,3,0,138,0,0,0,0
777329,3,1,114,0,0,0,0
777329,4,0,138,0,0,0,0
777329,4,1,114,6,6,0,1
777329,5,0,138,2,2,0,1
777329,5,1,114,0,0,0,0
777329,6,0,138,5,5,0,0
777329,6,1,114,0,1,0,1
777329,7,0,138,0,1,0,1
777329,7,1,114,0,0,0,0
777329,8,0,138,0,1,0,2
777329,8,1,114,0,1,0,3
777329,9,0,138,1,2,0,0
777329,9,1,114,0,0,0,0
777323,1,0,141,0,0,0,0
777323,1,1,111,3,4,0,3
777323,2,0,141,0,1,0,1
777323,2,1,111,3,3,0,1
777323,3,0,141,1,1,1,1
777323,3,1,111,3,1,1,1
777323,4,0,141,0,1,0,2
777323,4,1,111,0,1,0,1
777323,5,0,141,0,1,0,1
777323,5,1,111,0,2,0,2
777323,6,0,141,0,0,0,0
777323,6,1,111,3,3,0,1
777323,7,0,141,0,2,0,2
777323,7,1,111,2,3,0,1
777323,8,0,141,0,0,0,0
777323,8,1,111,1,1,0,1
777323,9,0,141,0,0,0,2
777323,9,1,111,,0,0,0
777327,1,0,137,0,0,0,1
777327,1,1,145,0,0,0,0
777327,2,0,137,0,0,0,0
777327,2,1,145,0,1,0,2
777327,3,0,137,0,1,0,1
777327,3,1,145,0,1,0,2
777327,4,0,137,0,0,0,0
777327,4,1,145,0,0,0,0
777327,5,0,137,0,0,0,0
777327,5,1,145,0,1,0,0
777327,6,0,137,0,2,0,1
777327,6,1,145,1,1,0,0
777327,7,0,137,0,1,0,1
777327,7,1,145,0,2,0,1
777327,8,0,137,0,0,0,0
777327,8,1,145,0,1,0,1
777327,9,0,137,0,0,0,0
777327,9,1,145,,0,0,0
777318,1,0,146,2,3,0,3
777318,1,1,109,1,2,1,1
777318,2,0,146,0,0,1,0
777318,2,1,109,0,0,0,2
777318,3,0,146,1,2,0,1
777318,3,1,109,0,0,0,0
777318,4,0,146,0,0,0,0
777318,4,1,109,5,6,0,1
777318,5,0,146,0,0,0,0
777318,5,1,109,0,0,0,0
777318,6,0,146,0,0,0,0
777318,6,1,109,1,2,0,1
777318,7,0,146,0,0,0,0
777318,7,1,109,0,0,0,0
777318,8,0,146,3,4,0,1
777318,8,1,109,0,0,0,0
777318,9,0,146,1,1,0,0
777318,9,1,109,0,0,0,0
777318,10,0,146,1,1,0,1
777318,10,1,109,0,0,0,1
777321,1,0,115,0,0,0,0
777321,1,1,158,2,3,0,2
777321,2,0,115,0,0,0,0
777321,2,1,158,0,0,0,1
777321,3,0,115,0,0,0,1
777321,3,1,158,0,1,0,2
777321,4,0,115,0,0,0,0
777321,4,1,158,2,2,0,0
777321,5,0,115,0,1,0,2
777321,5,1,158,1,3,0,2
777321,6,0,115,0,0,0,1
777321,6,1,158,0,1,0,1
777321,7,0,115,0,0,0,0
777321,7,1,158,0,0,0,0
777321,8,0,115,0,0,0,1
777321,8,1,158,0,0,0,0
777321,9,0,115,0,0,0,0
777321,9,1,158,,0,0,0
777320,1,0,112,1,1,0,3
