gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
777900,0,4,4ae71ec2-a528-3965-b42b-58cee33c411d,805367,Chase Meidroth,,,1B,Single,single,,False,,,False,False,False,False,
777900,1,4,fe73dc2e-5a2a-37c2-95ff-e5d89fd27b54,642136,Matt Thaiss,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
777900,2,4,e222fc7b-b6b7-3b28-8217-b13c7946335c,805367,Chase Meidroth,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
777900,2,6,736e719e-6390-3cca-bd0d-9f3dfa733f40,673357,Luis Robert Jr.,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
777900,3,7,90a180da-661e-3a57-a60e-56196949ad4d,678246,Miguel Vargas,,,score,Home Run,home_run,,False,,,True,True,True,False,690990
777900,3,7,90a180da-661e-3a57-a60e-56196949ad4d,805367,Chase Meidroth,2B,2B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,690990
777900,4,5,f3e561c9-6b07-38cf-83fa-fb25dcf667da,641943,Joshua Palacios,,,1B,Single,single,,False,,,False,False,False,False,
777900,5,5,8917009c-6bb1-3ddd-8a58-ae7b56851aff,683734,Andrew Vaughn,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
777900,6,1,22d61913-dc50-3f7e-93df-6ab5c0880351,691718,Pete Crow-Armstrong,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
777900,7,1,68f5c8c4-ba9a-3e95-a4b3-131bf961c876,663656,Kyle Tucker,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
777900,8,2,ced29a04-71be-3cd2-822f-157c3b9fbc16,673548,Seiya Suzuki,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
777900,9,4,37a1648c-d66e-3732-9b4b-659551a4c892,700337,Edgar Quero,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
777900,10,0,1cd37ab9-31e5-3b2a-b7e5-1f4eae51d8c7,668942,Josh Rojas,,,1B,Single,single,,False,,,False,False,False,False,
777900,11,2,8ba82a56-baea-37b1-823b-79780abb15ee,681460,Brooks Baldwin,,,1B,Single,single,,False,,,False,False,False,False,
777900,11,2,8ba82a56-baea-37b1-823b-79780abb15ee,668942,Josh Rojas,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
777900,12,4,39169084-4e50-3162-a171-153e4c554cb1,681460,Brooks Baldwin,1B,1B,,Double Play,double_play,r_interference,True,2B,2,False,False,False,False,
777900,12,4,39169084-4e50-3162-a171-153e4c554cb1,805367,Chase Meidroth,,,,Double Play,double_play,,True,1B,3,False,False,False,False,
777900,13,1,b8072c9f-8e67-34b9-9a1a-92c707f12c7f,683737,Michael Busch,,,1B,Single,single,,False,,,False,False,False,False,
777900,14,5,43e939af-9b8b-3603-b950-3436d87fd636,608348,Carson Kelly,,,2B,Double,double,,False,,,False,False,False,False,
777900,14,5,43e939af-9b8b-3603-b950-3436d87fd636,683737,Michael Busch,1B,1B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
777900,15,2,3a6971fd-a115-3c86-8b1a-931897140e3e,621020,Dansby Swanson,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
777900,16,3,83f4f4b2-dfab-30ec-9e3c-cc3107ab0cfe,683737,Michael Busch,3B,3B,score,Fielders Choice,fielders_choice,r_adv_play,False,,,True,True,True,False,681343
777900,16,3,83f4f4b2-dfab-30ec-9e3c-cc3107ab0cfe,608348,Carson Kelly,2B,2B,3B,Fielders Choice,fielders_choice,r_adv_play,False,,,False,False,False,False,
777900,16,3,83f4f4b2-dfab-30ec-9e3c-cc3107ab0cfe,694208,Moisés Ballesteros,,,1B,Fielders Choice,fielders_choice,,False,,,False,False,False,False,
777900,17,1,08b8119d-a162-30ae-9299-f5f0a6e923a6,608348,Carson Kelly,3B,3B,score,Error,error,r_adv_play,False,,,True,False,False,True,681343
777900,17,1,08b8119d-a162-30ae-9299-f5f0a6e923a6,694208,Moisés Ballesteros,1B,1B,2B,Error,error,r_adv_force,False,,,False,False,False,False,
777900,17,1,08b8119d-a162-30ae-9299-f5f0a6e923a6,663538,Nico Hoerner,,,1B,Fielders Choice,fielders_choice,,False,,,False,False,False,False,
777900,18,7,dbadeb89-eaf3-385c-9167-a9ab20cdc488,542932,Jon Berti,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
777900,19,5,47475611-187f-3337-86b0-33464ed96b93,691718,Pete Crow-Armstrong,,,score,Home Run,home_run,,False,,,True,True,False,True,681343
777900,19,5,47475611-187f-3337-86b0-33464ed96b93,663538,Nico Hoerner,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,False,True,681343
777900,19,5,47475611-187f-3337-86b0-33464ed96b93,694208,Moisés Ballesteros,2B,2B,score,Home Run,home_run,r_adv_force,False,,,True,True,False,True,681343
777900,20,2,29442d75-0ba3-337e-bf4f-f88928ed961a,663656,Kyle Tucker,,,3B,Triple,triple,,False,,,False,False,False,False,
777900,21,1,32a66c52-af3f-3e22-9950-6a22f8eefcd9,673548,Seiya Suzuki,,,2B,Double,double,,False,,,False,False,False,False,
777900,21,1,32a66c52-af3f-3e22-9950-6a22f8eefcd9,663656,Kyle Tucker,3B,3B,score,Double,double,r_adv_play,False,,,True,True,False,True,681343
777900,22,4,3052c750-b640-3152-bec8-d48c3703544d,683737,Michael Busch,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
777900,23,3,88d0ecad-3912-362e-bf4d-26561464237c,642136,Matt Thaiss,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
777900,24,5,84d838ff-5577-38a0-9b93-7834830b2207,673357,Luis Robert Jr.,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
777900,25,2,56f42749-1e4d-3577-9e2b-7c69d455b4ba,678246,Miguel Vargas,,,score,Home Run,home_run,,False,,,True,True,True,False,690990
777900,26,6,83d3a531-c498-3745-b459-65fc23091c45,641943,Joshua Palacios,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
777900,27,3,2a30ace3-c1be-3675-b449-cf30de34b231,608348,Carson Kelly,,,1B,Walk,walk,,False,,,False,False,False,False,
777900,28,4,1b2cf15e-9464-3e0c-9af9-b9032bc8965a,621020,Dansby Swanson,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
777900,29,1,adf4f665-2cfe-3bd3-8b45-f107093eb1fd,608348,Carson Kelly,1B,1B,,Forceout,force_out,r_force_out,True,2B,2,False,False,False,False,
777900,29,1,adf4f665-2cfe-3bd3-8b45-f107093eb1fd,694208,Moisés Ballesteros,,,1B,Forceout,force_out,,False,,,False,False,False,False,
777900,30,4,a17d323d-87e9-350c-9fc1-221a3071d714,694208,Moisés Ballesteros,1B,1B,,Forceout,force_out,r_force_out,True,2B,3,False,False,False,False,
777900,30,4,a17d323d-87e9-350c-9fc1-221a3071d714,663538,Nico Hoerner,,,1B,Forceout,force_out,,False,,,False,False,False,False,
777900,31,2,a0091fc2-9c10-318c-a48a-80ae2dea0587,683734,Andrew Vaughn,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
777900,32,4,38c52353-27ae-3222-9197-f30e63a10ee4,700337,Edgar Quero,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
777900,33,3,d22230e3-8a24-3bad-a4c9-6ed8bae1fa21,668942,Josh Rojas,,,1B,Single,single,,False,,,False,False,False,False,
777900,34,4,8aeb1e4c-4197-330d-879c-b02b54178029,681460,Brooks Baldwin,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
777900,35,5,2fc94ebb-2d8f-3fe4-a2cc-aa26d1159b75,542932,Jon Berti,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
777900,36,0,c77428ad-4206-3e1d-a15f-a6804f63411c,691718,Pete Crow-Armstrong,,,1B,Single,single,,False,,,False,False,False,False,
777900,37,4,a6067a4b-4b46-3404-ab99-67db4d900f19,691718,Pete Crow-Armstrong,1B,1B,2B,Wild Pitch,wild_pitch,r_adv_play,False,,,False,False,False,False,
777900,37,6,82ef1df9-5865-3e9c-b79e-ca2d6e7f0e2b,663656,Kyle Tucker,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
777900,37,6,82ef1df9-5865-3e9c-b79e-ca2d6e7f0e2b,691718,Pete Crow-Armstrong,2B,2B,3B,Lineout,field_out,r_adv_play,False,,,False,False,False,False,
777900,38,3,4fa5a0cd-cc9d-3f72-b5c1-0151d5b8a751,673548,Seiya Suzuki,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
777900,39,0,8dc31112-2ff4-3a8c-b766-937abf8047f7,805367,Chase Meidroth,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
777900,40,3,d99efac5-2700-3ca8-8d43-c4961ce51280,642136,Matt Thaiss,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
777900,41,0,db735fb1-eb13-3784-ab20-3ec30c986f82,673357,Luis Robert Jr.,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
777900,42,4,68b91e68-74d3-34bf-bd0e-2faea3c25cc6,683737,Michael Busch,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
777900,43,6,6a6e9b8f-7fb8-3876-95ac-58cad47c4d22,608348,Carson Kelly,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
777900,44,2,1083c739-a0ce-3b71-bc2e-e78a50e3fd7d,621020,Dansby Swanson,,,1B,Single,single,,False,,,False,False,False,False,
777900,45,4,600566aa-f70e-3882-8beb-5b3d9c304146,621020,Dansby Swanson,1B,1B,2B,Wild Pitch,wild_pitch,r_adv_play,False,,,False,False,False,False,
777900,45,6,262ee4a4-ad7d-32fc-b955-80d9cee23526,694208,Moisés Ballesteros,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
777900,46,3,ea760f7a-7a19-322e-9db1-3c2fb798e553,678246,Miguel Vargas,,,1B,Single,single,,False,,,False,False,False,False,
777900,47,0,c60e70d0-e00b-32c3-97a3-e7a5b59e9c46,641943,Joshua Palacios,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
777900,48,4,ba984404-a062-3812-bc5f-9a4ba93a1e77,683734,Andrew Vaughn,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
777900,48,4,ba984404-a062-3812-bc5f-9a4ba93a1e77,678246,Miguel Vargas,1B,1B,2B,Groundout,field_out,r_adv_force,False,,,False,False,False,False,
