gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777142,2025-07-12T17:05:00Z,2025-07-12,1,R,F,Final,112,Chicago Cubs,5,147,New York Yankees,2,3313,Yankee Stadium,9
777145,2025-07-12T17:10:00Z,2025-07-12,1,R,F,Final,136,Seattle Mariners,15,116,Detroit Tigers,7,2394,Comerica Park,9
777134,2025-07-12T18:10:00Z,2025-07-12,1,R,F,Final,134,Pittsburgh Pirates,4,142,Minnesota Twins,12,3312,Target Field,9
777133,2025-07-12T18:15:00Z,2025-07-12,1,R,F,Final,144,Atlanta Braves,7,138,St. Louis Cardinals,6,2889,Busch Stadium,9
777127,2025-07-12T20:05:00Z,2025-07-12,1,R,F,Final,119,Los Angeles Dodgers,2,137,San Francisco Giants,1,2395,Oracle Park,9
777141,2025-07-12T20:05:00Z,2025-07-12,1,R,F,Final,146,Miami Marlins,6,110,Baltimore Orioles,0,2,Oriole Park at Camden Yards,9
777140,2025-07-12T20:10:00Z,2025-07-12,1,R,F,Final,115,Colorado Rockies,3,113,Cincinnati Reds,4,2602,Great American Ball Park,9
777136,2025-07-12T20:10:00Z,2025-07-12,1,R,F,Final,121,New York Mets,3,118,Kansas City Royals,1,7,Kauffman Stadium,9
777144,2025-07-12T20:10:00Z,2025-07-12,1,R,F,Final,139,Tampa Bay Rays,0,111,Boston Red Sox,1,3,Fenway Park,9
777138,2025-07-12T20:10:00Z,2025-07-12,1,R,F,Final,114,Cleveland Guardians,6,145,Chicago White Sox,2,4,Rate Field,9
777135,2025-07-12T20:10:00Z,2025-07-12,1,R,F,Final,120,Washington Nationals,5,158,Milwaukee Brewers,6,32,American Family Field,9
777137,2025-07-12T23:35:00Z,2025-07-12,1,R,F,Final,140,Texas Rangers,4,117,Houston Astros,5,2392,Daikin Park,9
777126,2025-07-12T23:35:00Z,2025-07-12,1,R,F,Final,143,Philadelphia Phillies,4,135,San Diego Padres,5,2680,Petco Park,9
777131,2025-07-13T01:38:00Z,2025-07-12,1,R,F,Final,109,Arizona Diamondbacks,5,108,Los Angeles Angels,10,1,Angel Stadium,9
777132,2025-07-13T02:05:00Z,2025-07-12,1,R,F,Final,141,Toronto Blue Jays,3,133,Athletics,4,2529,Sutter Health Park,9
