gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
778403,1,0,147,0,2,0,2
778403,1,1,116,0,0,0,0
778403,2,0,147,0,0,0,0
778403,2,1,116,1,3,0,1
778403,3,0,147,0,0,0,0
778403,3,1,116,0,0,0,1
778403,4,0,147,0,0,0,0
778403,4,1,116,3,3,0,0
778403,5,0,147,0,0,0,0
778403,5,1,116,1,1,0,0
778403,6,0,147,0,2,0,2
778403,6,1,116,0,1,0,1
778403,7,0,147,0,0,0,0
778403,7,1,116,0,1,0,1
778403,8,0,147,0,1,0,1
778403,8,1,116,0,0,0,0
778403,9,0,147,0,1,0,1
778403,9,1,116,,0,0,0
778402,1,0,145,0,0,0,1
778402,1,1,114,0,0,0,0
778402,2,0,145,0,0,0,0
778402,2,1,114,0,0,0,0
778402,3,0,145,0,0,0,0
778402,3,1,114,0,0,0,0
778402,4,0,145,0,2,0,1
778402,4,1,114,0,0,0,0
778402,5,0,145,0,0,0,0
778402,5,1,114,0,0,0,2
778402,6,0,145,0,0,0,2
778402,6,1,114,0,2,0,2
778402,7,0,145,0,0,0,0
778402,7,1,114,0,0,0,1
778402,8,0,145,0,0,0,0
778402,8,1,114,0,0,0,0
778402,9,0,145,0,0,0,1
778402,9,1,114,1,1,1,3
778407,1,0,146,2,2,0,2
778407,1,1,121,1,1,0,0
778407,2,0,146,0,1,0,0
778407,2,1,121,0,0,0,1
778407,3,0,146,0,1,0,1
778407,3,1,121,1,2,0,1
778407,4,0,146,0,0,1,0
778407,4,1,121,0,0,0,1
778407,5,0,146,0,0,1,0
778407,5,1,121,4,3,0,1
778407,6,0,146,3,2,0,0
778407,6,1,121,3,3,0,3
778407,7,0,146,0,1,0,1
778407,7,1,121,1,2,0,1
778407,8,0,146,0,0,0,0
778407,8,1,121,0,2,0,2
778407,9,0,146,0,0,0,0
778407,9,1,121,,0,0,0
778408,1,0,138,0,0,0,0
778408,1,1,134,0,0,0,0
778408,2,0,138,0,0,0,0
778408,2,1,134,0,1,0,1
778408,3,0,138,3,4,0,1
778408,3,1,134,0,0,0,0
778408,4,0,138,0,0,0,1
778408,4,1,134,1,1,1,0
778408,5,0,138,0,0,0,0
778408,5,1,134,0,1,0,0
778408,6,0,138,2,2,0,1
778408,6,1,134,0,0,0,0
778408,7,0,138,0,1,0,2
778408,7,1,134,0,0,0,1
778408,8,0,138,0,0,0,0
778408,8,1,134,0,0,0,0
778408,9,0,138,0,0,0,0
778408,9,1,134,2,3,0,1
778409,1,0,119,0,1,0,1
778409,1,1,120,2,2,0,0
778409,2,0,119,0,0,0,2
778409,2,1,120,3,2,0,2
778409,3,0,119,0,0,0,0
778409,3,1,120,0,0,0,0
778409,4,0,119,0,1,0,1
778409,4,1,120,3,3,0,0
778409,5,0,119,1,1,0,1
778409,5,1,120,0,1,0,1
778409,6,0,119,0,0,0,1
778409,6,1,120,0,2,1,2
778409,7,0,119,0,2,0,2
778409,7,1,120,0,0,0,0
778409,8,0,119,1,2,0,2
778409,8,1,120,0,1,0,1
778409,9,0,119,0,1,0,2
778409,9,1,120,,0,0,0
778404,1,0,141,0,2,0,3
778404,1,1,111,0,0,0,0
778404,2,0,141,0,0,0,0
778404,2,1,111,0,0,0,0
778404,3,0,141,0,0,0,1
778404,3,1,111,0,1,0,2
778404,4,0,141,0,0,0,0
778404,4,1,111,0,1,0,1
778404,5,0,141,0,1,0,1
778404,5,1,111,0,0,0,0
778404,6,0,141,4,3,0,2
778404,6,1,111,0,2,2,2
778404,7,0,141,0,1,0,1
778404,7,1,111,1,2,0,1
778404,8,0,141,2,2,1,2
778404,8,1,111,0,0,0,0
