gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
776167,1,0,138,0,0,0,0
776167,1,1,112,1,1,0,0
776167,2,0,138,0,1,0,1
776167,2,1,112,0,0,0,0
776167,3,0,138,0,0,0,0
776167,3,1,112,0,0,0,1
776167,4,0,138,0,0,0,0
776167,4,1,112,2,2,0,0
776167,5,0,138,0,0,0,0
776167,5,1,112,1,1,0,0
776167,6,0,138,0,1,0,3
776167,6,1,112,0,1,0,1
776167,7,0,138,1,3,0,2
776167,7,1,112,7,5,0,1
776167,8,0,138,0,0,0,0
776167,8,1,112,1,2,0,1
776167,9,0,138,0,0,0,0
776167,9,1,112,,0,0,0
776176,1,0,142,0,0,1,0
776176,1,1,143,1,1,0,1
776176,2,0,142,0,0,0,0
776176,2,1,143,0,0,0,0
776176,3,0,142,0,0,0,0
776176,3,1,143,0,1,0,2
776176,4,0,142,0,0,0,0
776176,4,1,143,0,0,0,0
776176,5,0,142,0,0,0,0
776176,5,1,143,1,2,0,1
776176,6,0,142,1,1,0,0
776176,6,1,143,1,2,0,2
776176,7,0,142,0,1,0,1
776176,7,1,143,0,0,0,0
776176,8,0,142,0,0,0,0
776176,8,1,143,0,1,0,1
776176,9,0,142,0,2,0,2
776176,9,1,143,,0,0,0
776165,1,0,145,4,4,0,1
776165,1,1,120,1,1,2,0
776165,2,0,145,0,1,0,1
776165,2,1,120,0,0,0,0
776165,3,0,145,0,0,0,0
776165,3,1,120,0,0,0,0
776165,4,0,145,2,2,0,1
776165,4,1,120,0,1,0,0
776165,5,0,145,2,2,0,0
776165,5,1,120,1,3,1,2
776165,6,0,145,0,0,0,0
776165,6,1,120,3,3,0,0
776165,7,0,145,0,0,0,0
776165,7,1,120,0,1,0,0
776165,8,0,145,0,0,0,1
776165,8,1,120,4,3,0,0
776165,9,0,145,2,2,0,1
776165,9,1,120,0,1,1,1
776174,1,0,110,0,0,0,0
776174,1,1,147,2,1,0,0
776174,2,0,110,0,0,1,0
776174,2,1,147,0,0,0,0
776174,3,0,110,3,3,0,1
776174,3,1,147,4,2,0,0
776174,4,0,110,0,1,0,1
776174,4,1,147,0,0,0,0
776174,5,0,110,0,1,0,1
776174,5,1,147,0,1,0,1
776174,6,0,110,1,1,0,3
776174,6,1,147,1,3,1,1
776174,7,0,110,0,0,0,2
776174,7,1,147,1,2,0,3
776174,8,0,110,0,0,0,0
776174,8,1,147,0,0,0,0
776174,9,0,110,0,1,0,2
776174,9,1,147,,0,0,0
776177,1,0,139,0,0,0,0
776177,1,1,141,1,2,0,0
776177,2,0,139,2,3,0,1
776177,2,1,141,1,2,0,2
776177,3,0,139,0,0,0,0
776177,3,1,141,0,0,0,1
776177,4,0,139,0,1,0,2
776177,4,1,141,0,0,0,0
776177,5,0,139,0,1,0,2
776177,5,1,141,2,3,0,1
776177,6,0,139,0,0,0,0
776177,6,1,141,0,0,0,0
776177,7,0,139,0,0,0,0
776177,7,1,141,0,0,0,1
776177,8,0,139,0,1,0,2
776177,8,1,141,0,0,0,0
776177,9,0,139,0,0,0,2
776177,9,1,141,,0,0,0
776181,1,0,116,0,1,0,3
776181,1,1,111,0,0,0,0
776181,2,0,116,0,1,0,1
776181,2,1,111,0,2,0,2
776181,3,0,116,0,1,0,1
776181,3,1,111,0,0,0,0
776181,4,0,116,3,4,0,3
776181,4,1,111,1,2,0,0
776181,5,0,116,0,1,0,1
776181,5,1,111,0,0,0,0
776181,6,0,116,0,0,0,0
776181,6,1,111,0,0,0,0
776181,7,0,116,0,1,0,0
776181,7,1,111,1,2,0,1
776181,8,0,116,0,0,1,0
776181,8,1,111,1,2,0,0
776181,9,0,116,0,1,0,1
776181,9,1,111,1,2,0,1
776175,1,0,140,4,3,0,0
776175,1,1,114,2,2,0,0
776175,2,0,140,0,0,0,0
776175,2,1,114,0,1,0,1
776175,3,0,140,0,1,0,1
776175,3,1,114,0,0,0,1
776175,4,0,140,0,1,0,1
776175,4,1,114,0,0,0,0
776175,5,0,140,0,0,0,0
776175,5,1,114,0,1,0,1
776175,6,0,140,0,0,0,0
776175,6,1,114,0,0,0,0
776175,7,0,140,3,5,0,2
776175,7,1,114,0,0,0,0
776175,8,0,140,0,0,0,0
776175,8,1,114,0,0,0,0
776175,9,0,140,0,2,0,2
776175,9,1,114,1,1,0,1
776173,1,0,121,2,3,0,1
776173,1,1,146,0,0,0,1
776173,2,0,121,0,2,0,1
776173,2,1,146,0,0,0,0
776173,3,0,121,0,1,0,1
776173,3,1,146,0,0,0,1
776173,4,0,121,0,0,0,1
776173,4,1,146,0,1,0,0
776173,5,0,121,0,0,0,0
776173,5,1,146,6,7,0,1
776173,6,0,121,0,0,0,0
776173,6,1,146,0,0,0,0
776173,7,0,121,0,0,0,0
776173,7,1,146,0,1,0,1
776173,8,0,121,0,0,0,3
776173,8,1,146,0,1,1,1
776173,9,0,121,0,0,0,0
776173,9,1,146,,0,0,0
776180,1,0,134,0,1,0,1
776180,1,1,144,1,2,0,1
776180,2,0,134,4,4,0,1
776180,2,1,144,0,1,0,1
776180,3,0,134,0,1,0,1
776180,3,1,144,0,0,0,3
776180,4,0,134,0,1,0,1
776180,4,1,144,0,0,0,2
776180,5,0,134,0,1,0,3
776180,5,1,144,0,1,0,0
776180,6,0,134,0,1,0,0
776180,6,1,144,1,1,0,0
776180,7,0,134,1,1,0,0
776180,7,1,144,1,2,0,1
776180,8,0,134,0,0,0,0
776180,8,1,144,0,1,0,1
776180,9,0,134,4,4,0,0
776180,9,1,144,0,0,1,0
776171,1,0,113,0,0,0,1
776171,1,1,158,0,0,0,1
776171,2,0,113,0,0,0,0
776171,2,1,158,0,0,0,1
776171,3,0,113,0,1,0,1
776171,3,1,158,1,2,0,1
776171,4,0,113,1,4,0,2
776171,4,1,158,0,1,0,1
776171,5,0,113,0,1,1,0
776171,5,1,158,0,0,0,1
776171,6,0,113,2,3,0,1
776171,6,1,158,0,0,1,0
776171,7,0,113,0,0,0,0
776171,7,1,158,0,0,0,0
776171,8,0,113,0,0,0,0
776171,8,1,158,0,0,0,0
776171,9,0,113,0,0,0,1
