gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777130,2025-07-13T17:35:00Z,2025-07-13,1,R,F,Final,139,Tampa Bay Rays,1,111,Boston Red Sox,4,3,Fenway Park,9
777129,2025-07-13T17:35:00Z,2025-07-13,1,R,F,Final,146,Miami Marlins,11,110,Baltimore Orioles,1,2,Oriole Park at Camden Yards,9
777122,2025-07-13T17:35:00Z,2025-07-13,1,R,F,Final,112,Chicago Cubs,4,147,New York Yankees,1,3313,Yankee Stadium,9
777128,2025-07-13T17:40:00Z,2025-07-13,1,R,F,Final,115,Colorado Rockies,2,113,Cincinnati Reds,4,2602,Great American Ball Park,9
777121,2025-07-13T17:40:00Z,2025-07-13,1,R,F,Final,136,Seattle Mariners,8,116,Detroit Tigers,4,2394,Comerica Park,9
777124,2025-07-13T18:10:00Z,2025-07-13,1,R,F,Final,121,New York Mets,2,118,Kansas City Royals,3,7,Kauffman Stadium,9
777125,2025-07-13T18:10:00Z,2025-07-13,1,R,F,Final,140,Texas Rangers,5,117,Houston Astros,1,2392,Daikin Park,9
777113,2025-07-13T18:10:00Z,2025-07-13,1,R,F,Final,134,Pittsburgh Pirates,2,142,Minnesota Twins,1,3312,Target Field,9
777120,2025-07-13T18:10:00Z,2025-07-13,1,R,F,Final,114,Cleveland Guardians,6,145,Chicago White Sox,5,4,Rate Field,9
777123,2025-07-13T18:10:00Z,2025-07-13,1,R,F,Final,120,Washington Nationals,1,158,Milwaukee Brewers,8,32,American Family Field,9
777118,2025-07-13T18:15:00Z,2025-07-13,1,R,F,Final,144,Atlanta Braves,4,138,St. Louis Cardinals,5,2889,Busch Stadium,9
777119,2025-07-13T20:05:00Z,2025-07-13,1,R,F,Final,119,Los Angeles Dodgers,5,137,San Francisco Giants,2,2395,Oracle Park,9
777116,2025-07-13T20:05:00Z,2025-07-13,1,R,F,Final,141,Toronto Blue Jays,3,133,Athletics,6,2529,Sutter Health Park,9
777115,2025-07-13T20:07:00Z,2025-07-13,1,R,F,Final,109,Arizona Diamondbacks,5,108,Los Angeles Angels,1,1,Angel Stadium,9
777117,2025-07-13T20:10:00Z,2025-07-13,1,R,F,Final,143,Philadelphia Phillies,2,135,San Diego Padres,1,2680,Petco Park,9
