gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
778182,0,8,d51f5d38-cfec-30f7-8308-b8599d003208,681082,Bryson Stott,,,1B,Walk,walk,,False,,,False,False,False,False,
778182,1,4,750c4368-9469-3d64-8f0b-58a0342408c1,607208,Trea Turner,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
778182,2,9,4cd13363-1819-3b11-ab30-14dcbea46c92,547180,Bryce Harper,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
778182,2,9,4cd13363-1819-3b11-ab30-14dcbea46c92,681082,Bryson Stott,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
778182,3,8,64abf5f3-3e4d-3170-ac31-ed55762ffd0d,656941,Kyle Schwarber,,,1B,Walk,walk,,False,,,False,False,False,False,
778182,4,2,f5e12c52-6f9a-3709-bc95-617e33cf2c51,681082,Bryson Stott,2B,2B,,Forceout,force_out,r_force_out,True,3B,3,False,False,False,False,
778182,4,2,f5e12c52-6f9a-3709-bc95-617e33cf2c51,592206,Nick Castellanos,,,1B,Forceout,force_out,,False,,,False,False,False,False,
778182,5,3,da1dbcee-640a-3e94-8ba3-b35fa9524736,664023,Ian Happ,,,2B,Double,double,,False,,,False,False,False,False,
778182,6,2,60f7c21b-094d-354a-b476-5bc89983ed91,663656,Kyle Tucker,,,1B,Single,single,,False,,,False,False,False,False,
778182,6,2,60f7c21b-094d-354a-b476-5bc89983ed91,664023,Ian Happ,2B,2B,3B,Single,single,r_adv_play,False,,,False,False,False,False,
778182,7,4,cf5c823c-e52f-334e-bcf3-88179e87693f,673548,Seiya Suzuki,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
778182,8,8,70ec58a7-411f-3eb5-88dc-c78c3fc72597,663656,Kyle Tucker,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
778182,8,9,b4007726-1742-3cc3-a931-3204a17b6d2b,683737,Michael Busch,,,1B,Walk,walk,,False,,,False,False,False,False,
778182,9,6,f3bde415-768b-344f-8405-0383b59684c9,621020,Dansby Swanson,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
778182,10,13,cd95b58c-16d4-30e1-b262-bd84c5181a26,663538,Nico Hoerner,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
778182,11,4,4008dcef-8a57-3844-8b27-f0d24cee0cdc,596146,Max Kepler,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
778182,12,4,b24a438a-7a09-3b8a-a8b0-e62322ab318f,592663,J.T. Realmuto,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
778182,13,7,7b6605b1-b082-3e89-8d3c-a36c82cd3ce5,664761,Alec Bohm,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
778182,14,0,c6bd0739-3012-3747-9aca-894271765454,691718,Pete Crow-Armstrong,,,1B,Single,single,,False,,,False,False,False,False,
778182,15,9,86533095-4af4-32d9-9f5e-695ea5bb24c5,608348,Carson Kelly,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
778182,15,9,86533095-4af4-32d9-9f5e-695ea5bb24c5,691718,Pete Crow-Armstrong,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
778182,16,5,26406817-559e-37dd-b53c-4edd6b72cece,542932,Jon Berti,,,2B,Double,double,,False,,,False,False,False,False,
778182,16,5,26406817-559e-37dd-b53c-4edd6b72cece,691718,Pete Crow-Armstrong,2B,2B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
778182,16,5,26406817-559e-37dd-b53c-4edd6b72cece,691718,Pete Crow-Armstrong,2B,3B,score,Double,double,r_adv_play,False,,,True,True,True,False,592836
778182,17,3,99e51c7a-59f4-3b0f-ba1f-028c95e30875,664023,Ian Happ,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
778182,18,5,4872e93b-c157-35cc-9764-151e568dfd94,663656,Kyle Tucker,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
778182,19,5,2632d704-df1e-3e74-a94a-9572ee01e1bc,679032,Johan Rojas,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
