gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
776151,0,7,39d07051-cdcd-3f92-8c2f-a20ea9f344d0,678009,Parker Meadows,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776151,1,2,37c67f88-05ff-3e8d-82ed-66f3a32600c4,656716,Zach McKinstry,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776151,2,2,a611b36b-8afc-38a9-a5d7-e4d3e6a5dfb7,669234,Justyn-Henry Malloy,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776151,3,5,cfe5bce3-fc4e-3b7b-ba8c-87d4dd881a44,680776,Jarren Duran,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776151,4,4,a08eb1b3-d16a-3937-b774-3cca9442a8f0,596115,Trevor Story,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776151,5,1,7662cbf6-e15f-36b3-a235-d0e8e0b00e4d,807799,Masataka Yoshida,,,score,Home Run,home_run,,False,,,True,True,True,False,663978
776151,6,1,c5026839-685b-3863-827c-938a649166ea,678882,Ceddanne Rafaela,,,1B,Single,single,,False,,,False,False,False,False,
776151,7,1,8e1a5cdf-f689-3bc9-a072-ea05149f26b5,678882,Ceddanne Rafaela,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
776151,7,5,097c4070-71c5-3555-acc8-dd3c4df5087e,677800,Wilyer Abreu,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776151,8,5,2059bc43-89c4-3130-bf5d-7c3b85731da5,681481,Kerry Carpenter,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776151,9,1,c8849c1e-dc60-3f6c-a8f6-eedaaf8fc07b,672761,Wenceel Pérez,,,1B,Single,single,,False,,,False,False,False,False,
