gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777825,1,0,144,0,1,0,1
777825,1,1,120,0,2,0,2
777825,2,0,144,0,1,0,2
777825,2,1,120,2,2,0,1
777825,3,0,144,0,1,0,1
777825,3,1,120,0,1,0,1
777825,4,0,144,5,5,0,0
777825,4,1,120,0,0,0,0
777825,5,0,144,0,0,0,0
777825,5,1,120,0,0,0,1
777825,6,0,144,0,0,0,0
777825,6,1,120,0,1,0,1
777825,7,0,144,0,1,0,1
777825,7,1,120,0,0,0,0
777825,8,0,144,1,3,0,2
777825,8,1,120,1,2,0,1
777825,9,0,144,0,1,0,1
777825,9,1,120,0,0,0,1
776307,1,0,144,0,1,0,3
776307,1,1,120,0,1,0,1
776307,2,0,144,0,0,0,0
776307,2,1,120,0,0,0,0
776307,3,0,144,0,0,0,0
776307,3,1,120,0,0,0,0
776307,4,0,144,0,1,0,1
776307,4,1,120,0,1,0,1
776307,5,0,144,0,0,0,0
776307,5,1,120,0,0,0,0
776307,6,0,144,0,0,0,1
776307,6,1,120,0,0,0,0
776307,7,0,144,0,1,0,1
776307,7,1,120,0,0,0,0
776307,8,0,144,0,0,0,0
776307,8,1,120,0,1,0,1
776307,9,0,144,0,0,0,0
776307,9,1,120,0,2,0,2
776307,10,0,144,5,3,0,1
776307,10,1,120,0,0,0,1
776303,1,0,114,0,1,0,1
776303,1,1,116,0,0,0,1
776303,2,0,114,1,2,1,1
776303,2,1,116,0,1,0,2
776303,3,0,114,0,0,0,0
776303,3,1,116,1,3,0,2
776303,4,0,114,1,1,0,0
776303,4,1,116,0,0,0,0
776303,5,0,114,0,0,0,1
776303,5,1,116,0,0,0,0
776303,6,0,114,1,3,0,2
776303,6,1,116,1,2,0,1
776303,7,0,114,0,0,0,0
776303,7,1,116,0,0,0,1
776303,8,0,114,0,1,0,1
776303,8,1,116,0,1,0,1
776303,9,0,114,0,0,0,0
776303,9,1,116,1,1,0,0
776303,10,0,114,4,5,0,2
776303,10,1,116,2,1,0,0
776308,1,0,112,2,3,0,3
776308,1,1,134,1,2,0,1
776308,2,0,112,1,2,0,1
776308,2,1,134,0,0,0,0
776308,3,0,112,0,1,0,0
776308,3,1,134,0,1,0,2
776308,4,0,112,0,1,0,2
776308,4,1,134,0,0,0,0
776308,5,0,112,1,1,0,1
776308,5,1,134,0,0,0,0
776308,6,0,112,0,2,0,3
776308,6,1,134,0,0,0,0
776308,7,0,112,0,1,0,1
776308,7,1,134,0,0,0,0
776308,8,0,112,0,2,0,1
776308,8,1,134,0,1,0,1
776308,9,0,112,0,1,0,1
776308,9,1,134,0,0,0,0
776310,1,0,133,0,1,0,1
776310,1,1,111,0,1,0,2
776310,2,0,133,0,1,0,0
776310,2,1,111,0,2,0,2
776310,3,0,133,0,0,1,0
776310,3,1,111,1,1,0,1
776310,4,0,133,0,1,0,2
776310,4,1,111,0,1,0,1
776310,5,0,133,0,1,0,1
776310,5,1,111,0,1,0,2
776310,6,0,133,2,3,0,2
776310,6,1,111,0,0,0,0
776310,7,0,133,0,0,0,0
776310,7,1,111,0,1,0,1
776310,8,0,133,0,1,0,1
776310,8,1,111,0,0,0,0
776310,9,0,133,0,1,0,1
776310,9,1,111,0,1,0,0
776304,1,0,135,0,0,0,0
776304,1,1,121,5,6,0,0
776304,2,0,135,1,1,0,0
776304,2,1,121,2,3,0,1
776304,3,0,135,1,1,0,0
776304,3,1,121,0,0,0,0
776304,4,0,135,0,1,0,1
776304,4,1,121,1,1,0,0
776304,5,0,135,0,0,0,0
776304,5,1,121,0,0,0,0
776304,6,0,135,0,1,0,1
776304,6,1,121,0,0,0,2
776304,7,0,135,0,0,0,0
776304,7,1,121,0,0,0,0
776304,8,0,135,1,2,0,1
776304,8,1,121,0,0,0,1
776304,9,0,135,0,1,0,1
776304,9,1,121,,0,0,0
776305,1,0,141,1,2,0,1
776305,1,1,139,0,1,0,2
776305,2,0,141,3,2,0,2
776305,2,1,139,0,0,0,0
776305,3,0,141,0,2,0,1
776305,3,1,139,3,2,0,0
776305,4,0,141,1,1,0,0
776305,4,1,139,0,1,0,1
776305,5,0,141,1,1,0,0
776305,5,1,139,0,2,0,2
776305,6,0,141,0,0,0,0
776305,6,1,139,0,2,0,2
776305,7,0,141,0,2,0,1
776305,7,1,139,0,0,0,0
776305,8,0,141,0,0,0,0
776305,8,1,139,1,1,0,1
776305,9,0,141,0,1,1,1
776305,9,1,139,1,1,0,2
776302,1,0,136,2,2,0,1
776302,1,1,118,0,1,0,1
776302,2,0,136,1,1,0,0
776302,2,1,118,0,2,0,2
776302,3,0,136,4,6,0,1
776302,3,1,118,0,1,0,2
776302,4,0,136,2,1,0,0
776302,4,1,118,1,2,0,1
776302,5,0,136,1,1,0,0
776302,5,1,118,0,0,0,0
776302,6,0,136,0,0,1,3
776302,6,1,118,2,2,1,1
776302,7,0,136,0,1,0,1
776302,7,1,118,0,0,0,1
776302,8,0,136,0,0,0,0
776302,8,1,118,2,2,0,2
776302,9,0,136,2,2,0,0
776302,9,1,118,0,0,0,0
776306,1,0,110,0,0,0,0
776306,1,1,145,2,2,0,0
776306,2,0,110,0,1,0,2
776306,2,1,145,0,1,0,1
776306,3,0,110,2,3,0,1
776306,3,1,145,0,1,0,1
776306,4,0,110,2,2,0,0
776306,4,1,145,0,0,0,0
776306,5,0,110,2,3,0,1
776306,5,1,145,0,0,0,0
776306,6,0,110,0,1,0,2
776306,6,1,145,0,0,0,2
776306,7,0,110,2,2,0,1
776306,7,1,145,0,0,0,0
776306,8,0,110,0,1,0,1
776306,8,1,145,5,3,0,0
776306,9,0,110,0,0,0,0
776306,9,1,145,0,1,0,1
776298,1,0,147,2,3,0,1
776298,1,1,142,1,1,0,2
776298,2,0,147,4,5,0,2
776298,2,1,142,0,0,0,0
776298,3,0,147,3,3,0,1
776298,3,1,142,0,0,0,0
776298,4,0,147,1,2,0,1
776298,4,1,142,0,0,0,0
776298,5,0,147,0,1,0,1
776298,5,1,142,3,2,0,2
776298,6,0,147,0,1,0,0
776298,6,1,142,4,5,0,1
776298,7,0,147,0,0,0,0
776298,7,1,142,0,0,0,0
776298,8,0,147,0,0,0,0
776298,8,1,142,0,0,0,0
776298,9,0,147,0,1,0,1
776298,9,1,142,1,1,0,0
776295,1,0,108,0,0,0,1
776295,1,1,158,1,2,0,2
776295,2,0,108,0,1,0,2
