gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777739,2025-05-28T17:10:00Z,2025-05-28,1,R,F,Final,119,Los Angeles Dodgers,4,114,Cleveland Guardians,7,5,Progressive Field,9
777738,2025-05-28T17:10:00Z,2025-05-28,1,R,F,Final,137,San Francisco Giants,3,116,Detroit Tigers,4,2394,Comerica Park,9
777732,2025-05-28T17:10:00Z,2025-05-28,1,R,F,Final,142,Minnesota Twins,0,139,Tampa Bay Rays,5,2523,George M. Steinbrenner Field,9
777737,2025-05-28T17:10:00Z,2025-05-28,1,R,F,Final,145,Chicago White Sox,9,121,New York Mets,4,3289,Citi Field,9
777736,2025-05-28T17:10:00Z,2025-05-28,1,R,F,Final,111,Boston Red Sox,5,158,Milwaukee Brewers,6,32,American Family Field,9
777734,2025-05-28T18:10:00Z,2025-05-28,1,R,F,Final,133,Athletics,3,117,Houston Astros,5,2392,Daikin Park,9
777729,2025-05-28T19:40:00Z,2025-05-28,1,R,F,Final,134,Pittsburgh Pirates,10,109,Arizona Diamondbacks,1,15,Chase Field,9
777726,2025-05-28T20:10:00Z,2025-05-28,1,R,F,Final,146,Miami Marlins,10,135,San Diego Padres,8,2680,Petco Park,9
777740,2025-05-28T22:35:00Z,2025-05-28,1,R,F,Final,138,St. Louis Cardinals,6,110,Baltimore Orioles,4,2,Oriole Park at Camden Yards,9
777733,2025-05-28T23:40:00Z,2025-05-28,1,R,F,Final,113,Cincinnati Reds,2,118,Kansas City Royals,3,7,Kauffman Stadium,9
777731,2025-05-29T00:05:00Z,2025-05-28,1,R,F,Final,115,Colorado Rockies,1,112,Chicago Cubs,2,17,Wrigley Field,9
777724,2025-05-29T00:05:00Z,2025-05-28,1,R,F,Final,141,Toronto Blue Jays,2,140,Texas Rangers,0,5325,Globe Life Field,9
777728,2025-05-29T01:38:00Z,2025-05-28,1,R,F,Final,147,New York Yankees,1,108,Los Angeles Angels,0,1,Angel Stadium,9
777730,2025-05-29T01:40:00Z,2025-05-28,1,R,F,Final,120,Washington Nationals,9,136,Seattle Mariners,0,680,T-Mobile Park,9
777735,2025-05-28T22:45:00Z,2025-05-29,1,R,D,Postponed,144,Atlanta Braves,,143,Philadelphia Phillies,,2681,Citizens Bank Park,9
