gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
778214,2025-04-23T16:15:00Z,2025-04-23,1,R,F,Final,138,St. Louis Cardinals,1,144,Atlanta Braves,4,4705,Truist Park,9
778209,2025-04-23T17:10:00Z,2025-04-23,1,R,F,Final,135,San Diego Padres,0,116,Detroit Tigers,6,2394,Comerica Park,9
778203,2025-04-23T17:10:00Z,2025-04-23,1,R,F,Final,143,Philadelphia Phillies,3,121,New York Mets,4,3289,Citi Field,9
778208,2025-04-23T17:10:00Z,2025-04-23,1,R,F,Final,113,Cincinnati Reds,5,146,Miami Marlins,2,4169,loanDepot park,9
778206,2025-04-23T17:10:00Z,2025-04-23,1,R,F,Final,147,New York Yankees,5,114,Cleveland Guardians,1,5,Progressive Field,9
778204,2025-04-23T22:45:00Z,2025-04-23,1,R,F,Final,110,Baltimore Orioles,3,120,Washington Nationals,4,3309,Nationals Park,9
778207,2025-04-23T22:45:00Z,2025-04-23,1,R,F,Final,136,Seattle Mariners,8,111,Boston Red Sox,5,3,Fenway Park,9
778205,2025-04-23T23:00:00Z,2025-04-23,1,R,F,Final,119,Los Angeles Dodgers,6,112,Chicago Cubs,7,17,Wrigley Field,9
778200,2025-04-23T23:40:00Z,2025-04-23,1,R,F,Final,141,Toronto Blue Jays,1,117,Houston Astros,3,2392,Daikin Park,9
778201,2025-04-23T23:40:00Z,2025-04-23,1,R,F,Final,145,Chicago White Sox,3,142,Minnesota Twins,6,3312,Target Field,9
778202,2025-04-24T01:38:00Z,2025-04-23,1,R,F,Final,134,Pittsburgh Pirates,3,108,Los Angeles Angels,0,1,Angel Stadium,9
778199,2025-04-24T01:40:00Z,2025-04-23,1,R,F,Final,139,Tampa Bay Rays,7,109,Arizona Diamondbacks,6,15,Chase Field,9
778198,2025-04-24T01:45:00Z,2025-04-23,1,R,F,Final,158,Milwaukee Brewers,2,137,San Francisco Giants,4,2395,Oracle Park,9
778197,2025-04-24T02:05:00Z,2025-04-23,1,R,F,Final,140,Texas Rangers,2,133,Athletics,5,2529,Sutter Health Park,9
778195,2025-04-23T23:40:00Z,2025-04-24,1,R,D,Postponed,115,Colorado Rockies,,118,Kansas City Royals,,7,Kauffman Stadium,9
