gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777453,2025-06-18T20:10:00Z,2025-06-18,1,R,F,Final,111,Boston Red Sox,3,136,Seattle Mariners,1,680,T-Mobile Park,9
777465,2025-06-18T22:40:00Z,2025-06-18,1,R,F,Final,143,Philadelphia Phillies,4,146,Miami Marlins,2,4169,loanDepot park,9
777461,2025-06-18T22:45:00Z,2025-06-18,1,R,F,Final,115,Colorado Rockies,3,120,Washington Nationals,1,3309,Nationals Park,9
777466,2025-06-18T23:05:00Z,2025-06-18,1,R,F,Final,108,Los Angeles Angels,3,147,New York Yankees,2,3313,Yankee Stadium,9
777462,2025-06-18T23:07:00Z,2025-06-18,1,R,F,Final,109,Arizona Diamondbacks,1,141,Toronto Blue Jays,8,14,Rogers Centre,9
777474,2025-06-18T23:10:00Z,2025-06-18,1,R,F,Completed Early: Rain,142,Minnesota Twins,2,113,Cincinnati Reds,4,2602,Great American Ball Park,9
777470,2025-06-18T23:15:00Z,2025-06-18,1,R,F,Final,121,New York Mets,0,144,Atlanta Braves,5,4705,Truist Park,9
777463,2025-06-18T23:35:00Z,2025-06-18,1,R,F,Final,110,Baltimore Orioles,8,139,Tampa Bay Rays,12,2523,George M. Steinbrenner Field,9
777460,2025-06-19T00:05:00Z,2025-06-18,1,R,F,Final,118,Kansas City Royals,6,140,Texas Rangers,3,5325,Globe Life Field,9
777454,2025-06-19T01:45:00Z,2025-06-18,1,R,F,Final,114,Cleveland Guardians,4,137,San Francisco Giants,2,2395,Oracle Park,9
777456,2025-06-19T02:05:00Z,2025-06-18,1,R,F,Final,117,Houston Astros,11,133,Athletics,4,2529,Sutter Health Park,9
777457,2025-06-19T02:10:00Z,2025-06-18,1,R,F,Final,135,San Diego Padres,3,119,Los Angeles Dodgers,4,22,Dodger Stadium,9
777464,2025-06-18T22:40:00Z,2025-06-19,1,R,D,Postponed,134,Pittsburgh Pirates,,116,Detroit Tigers,,2394,Comerica Park,9
777458,2025-06-18T23:40:00Z,2025-06-19,1,R,D,Postponed,138,St. Louis Cardinals,,145,Chicago White Sox,,4,Rate Field,9
777459,2025-06-19T00:05:00Z,2025-08-18,1,R,D,Postponed,158,Milwaukee Brewers,,112,Chicago Cubs,,17,Wrigley Field,9
