gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777780,2025-05-25T15:35:00Z,2025-05-25,1,R,F,Final,114,Cleveland Guardians,0,116,Detroit Tigers,5,2394,Comerica Park,9
777785,2025-05-25T17:35:00Z,2025-05-25,1,R,F,Final,110,Baltimore Orioles,5,111,Boston Red Sox,1,3,Fenway Park,9
777778,2025-05-25T17:35:00Z,2025-05-25,1,R,F,Final,137,San Francisco Giants,3,120,Washington Nationals,2,3309,Nationals Park,9
777776,2025-05-25T17:35:00Z,2025-05-25,1,R,F,Final,158,Milwaukee Brewers,6,134,Pittsburgh Pirates,5,31,PNC Park,9
777779,2025-05-25T17:40:00Z,2025-05-25,1,R,F,Final,112,Chicago Cubs,11,113,Cincinnati Reds,8,2602,Great American Ball Park,9
777775,2025-05-25T17:40:00Z,2025-05-25,1,R,F,Final,141,Toronto Blue Jays,0,139,Tampa Bay Rays,13,2523,George M. Steinbrenner Field,9
777774,2025-05-25T18:10:00Z,2025-05-25,1,R,F,Final,136,Seattle Mariners,3,117,Houston Astros,5,2392,Daikin Park,9
777772,2025-05-25T18:10:00Z,2025-05-25,1,R,F,Final,118,Kansas City Royals,2,142,Minnesota Twins,1,3312,Target Field,9
777777,2025-05-25T18:10:00Z,2025-05-25,1,R,F,Final,140,Texas Rangers,5,145,Chicago White Sox,4,4,Rate Field,9
777766,2025-05-25T18:15:00Z,2025-05-25,1,R,F,Final,109,Arizona Diamondbacks,3,138,St. Louis Cardinals,4,2889,Busch Stadium,9
777768,2025-05-25T19:10:00Z,2025-05-25,1,R,F,Final,147,New York Yankees,5,115,Colorado Rockies,4,19,Coors Field,9
777765,2025-05-25T20:05:00Z,2025-05-25,1,R,F,Final,143,Philadelphia Phillies,4,133,Athletics,5,2529,Sutter Health Park,9
777767,2025-05-25T20:07:00Z,2025-05-25,1,R,F,Final,146,Miami Marlins,3,108,Los Angeles Angels,0,1,Angel Stadium,9
777783,2025-05-25T20:10:00Z,2025-05-25,1,R,F,Final,135,San Diego Padres,5,144,Atlanta Braves,3,4705,Truist Park,9
777773,2025-05-25T23:10:00Z,2025-05-25,1,R,F,Final,119,Los Angeles Dodgers,1,121,New York Mets,3,3289,Citi Field,9
