gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
813034,0,8,653c9c14-8da6-3688-9678-e005b3047373,660271,Shohei Ohtani,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
813034,1,5,1827ad88-df1f-3eb3-9303-d71f31518327,605141,Mookie Betts,,,1B,Walk,walk,,False,,,False,False,False,False,
813034,2,3,4be6794e-6791-36f9-afc6-20d9fbae0c59,518692,Freddie Freeman,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
813034,3,3,0cf783bc-36fc-3849-9c24-ef15a3ef8ded,669257,Will Smith,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
813034,4,0,246ba5b0-2480-3380-8736-9c3d90a794cf,694192,Jackson Chourio,,,score,Home Run,home_run,,False,,,True,True,True,False,808967
813034,5,4,e7e841e5-50da-3b48-855c-8c048066e15c,668930,Brice Turang,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
813034,6,1,d8803159-e112-344a-be82-c6090ccb7bab,661388,William Contreras,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
813034,7,4,61c9daf4-1d42-373f-bcc8-e307a8e8c243,592885,Christian Yelich,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
813034,8,4,83bb70a0-9ead-3bef-bfa6-3a78f4d80c3e,571970,Max Muncy,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
813034,9,5,6fb64b87-42a8-3aa3-99a0-357080eea523,606192,Teoscar Hernández,,,score,Home Run,home_run,,False,,,True,True,True,False,642547
813034,10,4,b1dfade6-e869-3198-bcb8-cb6d42a85bb0,669242,Tommy Edman,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
813034,11,4,86c92193-0abb-3f82-8a28-5974f734285a,571771,Enrique Hernández,,,1B,Single,single,,False,,,False,False,False,False,
813034,12,2,eeaced7c-8e92-39ed-ae26-20713bf87f45,681624,Andy Pages,,,2B,Double,double,,False,,,False,False,False,False,
813034,12,2,eeaced7c-8e92-39ed-ae26-20713bf87f45,571771,Enrique Hernández,1B,1B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
813034,12,2,eeaced7c-8e92-39ed-ae26-20713bf87f45,571771,Enrique Hernández,1B,3B,score,Double,double,r_adv_play,False,,,True,True,True,False,642547
813034,13,4,109e437f-a23a-3403-8d01-8b4ee9eb022a,660271,Shohei Ohtani,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
813034,14,2,90b78977-9256-3428-abac-6f24d1dd52df,683734,Andrew Vaughn,,,1B,Field Error,field_error,,False,,,False,False,False,False,
813034,15,1,62fcd4a4-4541-3c58-8b68-1b0385227e94,683734,Andrew Vaughn,1B,1B,,Forceout,force_out,r_force_out,True,2B,1,False,False,False,False,
813034,15,1,62fcd4a4-4541-3c58-8b68-1b0385227e94,686217,Sal Frelick,,,1B,Forceout,force_out,,False,,,False,False,False,False,
813034,16,2,9d724728-4b65-3549-b307-3f48cd2145cd,702332,Caleb Durbin,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
