gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777712,2025-05-30T18:20:00Z,2025-05-30,1,R,F,Final,113,Cincinnati Reds,6,112,Chicago Cubs,2,17,Wrigley Field,9
777720,2025-05-30T20:30:00Z,2025-05-30,1,R,F,Final,145,Chicago White Sox,1,110,Baltimore Orioles,2,2,Oriole Park at Camden Yards,9
777715,2025-05-30T22:45:00Z,2025-05-30,1,R,F,Final,158,Milwaukee Brewers,6,143,Philadelphia Phillies,2,2681,Citizens Bank Park,9
777716,2025-05-30T23:07:00Z,2025-05-30,1,R,F,Final,133,Athletics,7,141,Toronto Blue Jays,11,14,Rogers Centre,9
777721,2025-05-30T23:10:00Z,2025-05-30,1,R,F,Final,108,Los Angeles Angels,4,114,Cleveland Guardians,1,5,Progressive Field,9
777718,2025-05-30T23:10:00Z,2025-05-30,1,R,F,Final,115,Colorado Rockies,2,121,New York Mets,4,3289,Citi Field,9
777717,2025-05-30T23:10:00Z,2025-05-30,1,R,F,Final,137,San Francisco Giants,2,146,Miami Marlins,0,4169,loanDepot park,9
777719,2025-05-30T23:15:00Z,2025-05-30,1,R,F,Final,111,Boston Red Sox,5,144,Atlanta Braves,1,4705,Truist Park,9
777709,2025-05-31T00:05:00Z,2025-05-30,1,R,F,Final,138,St. Louis Cardinals,1,140,Texas Rangers,11,5325,Globe Life Field,9
777711,2025-05-31T00:10:00Z,2025-05-30,1,R,F,Final,116,Detroit Tigers,7,118,Kansas City Royals,5,7,Kauffman Stadium,9
777714,2025-05-31T00:10:00Z,2025-05-30,1,R,F,Final,139,Tampa Bay Rays,1,117,Houston Astros,2,2392,Daikin Park,9
777710,2025-05-31T01:40:00Z,2025-05-30,1,R,F,Final,120,Washington Nationals,9,109,Arizona Diamondbacks,7,15,Chase Field,9
777707,2025-05-31T01:40:00Z,2025-05-30,1,R,F,Final,134,Pittsburgh Pirates,2,135,San Diego Padres,3,2680,Petco Park,9
777713,2025-05-31T02:10:00Z,2025-05-30,1,R,F,Final,142,Minnesota Twins,12,136,Seattle Mariners,6,680,T-Mobile Park,9
777708,2025-05-31T02:10:00Z,2025-05-30,1,R,F,Final,147,New York Yankees,5,119,Los Angeles Dodgers,8,22,Dodger Stadium,9
