gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
776901,1,0,119,0,0,0,0
776901,1,1,139,1,1,0,0
776901,2,0,119,0,1,0,0
776901,2,1,139,0,0,0,0
776901,3,0,119,0,0,0,0
776901,3,1,139,2,2,0,0
776901,4,0,119,0,1,0,1
776901,4,1,139,0,1,0,1
776901,5,0,119,0,1,0,1
776901,5,1,139,0,1,0,1
776901,6,0,119,0,3,0,2
776901,6,1,139,1,3,0,2
776901,7,0,119,0,0,0,0
776901,7,1,139,0,0,0,0
776901,8,0,119,0,0,0,0
776901,8,1,139,0,0,0,0
776901,9,0,119,0,0,0,0
776901,9,1,139,,0,0,0
776902,1,0,110,0,1,0,1
776902,1,1,112,0,0,0,0
776902,2,0,110,0,0,0,0
776902,2,1,112,2,3,0,1
776902,3,0,110,0,0,0,0
776902,3,1,112,0,0,0,1
776902,4,0,110,0,2,1,1
776902,4,1,112,1,2,0,2
776902,5,0,110,0,1,0,1
776902,5,1,112,0,0,0,0
776902,6,0,110,0,0,0,0
776902,6,1,112,0,2,0,2
776902,7,0,110,0,0,0,0
776902,7,1,112,0,1,0,2
776902,8,0,110,4,3,0,1
776902,8,1,112,0,0,0,0
776902,9,0,110,0,0,0,0
776902,9,1,112,0,0,0,2
776900,1,0,118,0,1,0,1
776900,1,1,141,0,0,0,0
776900,2,0,118,0,0,0,0
776900,2,1,141,0,0,0,0
776900,3,0,118,0,1,1,2
776900,3,1,141,3,3,0,2
776900,4,0,118,0,1,0,1
776900,4,1,141,0,1,0,1
776900,5,0,118,0,1,0,1
776900,5,1,141,0,0,0,0
776900,6,0,118,1,1,0,0
776900,6,1,141,0,1,0,1
776900,7,0,118,1,1,0,0
776900,7,1,141,1,2,0,1
776900,8,0,118,0,0,0,0
776900,8,1,141,0,1,0,1
776900,9,0,118,0,0,0,0
776900,9,1,141,,0,0,0
776904,1,0,134,1,2,0,1
776904,1,1,115,0,0,0,1
776904,2,0,134,0,0,0,0
776904,2,1,115,0,0,0,0
776904,3,0,134,0,2,0,2
776904,3,1,115,0,0,0,0
776904,4,0,134,0,0,0,0
776904,4,1,115,0,2,0,2
776904,5,0,134,3,1,0,0
776904,5,1,115,0,0,1,0
776904,6,0,134,0,0,0,1
776904,6,1,115,6,6,0,1
776904,7,0,134,0,1,1,1
776904,7,1,115,1,2,0,1
776904,8,0,134,0,0,0,1
776904,8,1,115,1,2,0,1
776904,9,0,134,1,1,0,0
776904,9,1,115,,0,0,0
776912,1,0,116,0,1,0,1
776912,1,1,143,0,1,0,1
776912,2,0,116,0,1,0,1
776912,2,1,143,0,0,0,0
776912,3,0,116,2,2,0,0
776912,3,1,143,0,0,0,0
776912,4,0,116,0,1,0,1
776912,4,1,143,0,0,0,0
776912,5,0,116,0,2,0,2
776912,5,1,143,0,0,0,0
776912,6,0,116,0,1,0,0
776912,6,1,143,0,1,0,1
776912,7,0,116,3,3,0,0
776912,7,1,143,3,3,1,0
776912,8,0,116,2,1,0,1
776912,8,1,143,2,3,0,1
776912,9,0,116,0,0,0,0
776912,9,1,143,0,0,0,0
776903,1,0,158,3,4,0,2
776903,1,1,120,0,0,0,0
776903,2,0,158,1,2,0,0
776903,2,1,120,0,0,0,0
776903,3,0,158,1,2,0,1
776903,3,1,120,2,1,0,0
776903,4,0,158,0,0,0,1
776903,4,1,120,0,0,0,0
776903,5,0,158,0,0,0,0
776903,5,1,120,0,0,0,0
776903,6,0,158,0,1,0,2
776903,6,1,120,0,0,1,0
776903,7,0,158,0,1,0,0
776903,7,1,120,0,0,0,1
776903,8,0,158,2,3,0,1
776903,8,1,120,0,1,0,0
776903,9,0,158,1,2,0,1
776903,9,1,120,0,0,0,0
776909,1,0,117,2,3,0,2
776909,1,1,111,1,1,0,2
776909,2,0,117,0,2,0,1
776909,2,1,111,0,0,0,0
776909,3,0,117,0,2,0,2
776909,3,1,111,3,3,0,0
776909,4,0,117,0,0,0,0
776909,4,1,111,2,2,0,0
776909,5,0,117,1,2,0,2
776909,5,1,111,0,1,0,2
776909,6,0,117,0,0,0,1
776909,6,1,111,0,0,0,0
776909,7,0,117,0,2,0,1
776909,7,1,111,1,2,0,1
776909,8,0,117,0,2,0,3
776909,8,1,111,0,1,0,1
776909,9,0,117,0,1,0,2
776909,9,1,111,,0,0,0
776911,1,0,137,0,1,0,2
776911,1,1,121,3,2,0,1
776911,2,0,137,1,1,0,1
776911,2,1,121,0,0,0,0
776911,3,0,137,2,1,0,0
776911,3,1,121,0,1,0,2
776911,4,0,137,1,2,0,1
776911,4,1,121,2,3,0,1
776911,5,0,137,0,0,0,0
776911,5,1,121,0,0,0,0
776911,6,0,137,0,1,0,1
776911,6,1,121,2,3,0,2
776911,7,0,137,0,1,0,1
776911,7,1,121,4,3,0,1
776911,8,0,137,0,1,1,1
776911,8,1,121,1,1,0,0
776911,9,0,137,2,2,0,0
776911,9,1,121,,0,0,0
776897,1,0,140,0,0,0,0
776897,1,1,136,0,0,0,0
776897,2,0,140,0,0,0,0
776897,2,1,136,0,0,0,0
776897,3,0,140,2,3,0,2
776897,3,1,136,0,1,0,1
776897,4,0,140,0,1,0,1
776897,4,1,136,0,0,0,0
776897,5,0,140,0,0,0,0
776897,5,1,136,0,0,0,0
776897,6,0,140,0,1,1,0
776897,6,1,136,2,3,0,2
776897,7,0,140,0,0,0,1
776897,7,1,136,0,1,0,3
776897,8,0,140,0,0,0,0
776897,8,1,136,0,0,0,0
776897,9,0,140,0,1,0,1
776897,9,1,136,0,0,0,1
776897,10,0,140,2,2,0,2
776897,10,1,136,2,2,0,1
776897,11,0,140,2,3,0,2
776897,11,1,136,0,0,0,1
776905,1,0,142,0,0,0,0
776905,1,1,114,0,1,0,2
776905,2,0,142,0,1,0,2
776905,2,1,114,1,2,1,1
776905,3,0,142,0,1,0,1
776905,3,1,114,1,1,0,0
776905,4,0,142,2,2,0,1
776905,4,1,114,0,0,0,0
776905,5,0,142,2,4,0,2
776905,5,1,114,2,2,0,0
776905,6,0,142,0,0,0,0
776905,6,1,114,0,0,0,0
776905,7,0,142,0,0,0,0
776905,7,1,114,0,1,0,1
776905,8,0,142,0,0,0,0
776905,8,1,114,1,3,0,3
776905,9,0,142,0,1,0,1
776905,9,1,114,,0,0,0
776910,1,0,147,0,1,0,1
776910,1,1,146,1,1,0,0
776910,2,0,147,0,0,0,0
776910,2,1,146,0,1,0,0
776910,3,0,147,0,0,0,0
776910,3,1,146,0,0,0,0
776910,4,0,147,0,0,0,0
776910,4,1,146,1,2,0,2
776910,5,0,147,0,1,0,2
776910,5,1,146,0,0,0,1
776910,6,0,147,0,0,0,0
776910,6,1,146,0,0,0,0
776910,7,0,147,0,0,0,0
776910,7,1,146,0,0,0,0
776910,8,0,147,0,0,0,0
776910,8,1,146,0,0,0,0
776910,9,0,147,0,0,0,0
776910,9,1,146,,0,0,0
776907,1,0,144,0,0,0,0
776907,1,1,113,1,3,0,2
776907,2,0,144,3,3,0,0
776907,2,1,113,1,1,0,2
776907,3,0,144,0,0,0,0
776907,3,1,113,0,0,0,0
776907,4,0,144,0,1,0,1
776907,4,1,113,0,0,0,0
776907,5,0,144,0,2,0,2
776907,5,1,113,0,1,0,1
776907,6,0,144,0,1,0,1
776907,6,1,113,0,1,0,1
776907,7,0,144,1,2,0,1
776907,7,1,113,0,1,0,1
776907,8,0,144,0,1,0,0
776907,8,1,113,0,1,0,3
776907,9,0,144,0,0,0,1
776907,9,1,113,0,2,0,2
776899,1,0,109,1,1,0,1
776899,1,1,133,0,2,0,2
776899,2,0,109,0,0,0,1
776899,2,1,133,0,1,0,1
776899,3,0,109,0,0,0,1
776899,3,1,133,2,3,0,1
776899,4,0,109,0,0,0,0
776899,4,1,133,0,0,0,0
776899,5,0,109,3,3,0,2
776899,5,1,133,0,1,0,1
776899,6,0,109,1,1,0,1
776899,6,1,133,0,1,0,1
776899,7,0,109,1,0,0,0
776899,7,1,133,0,1,2,1
776899,8,0,109,0,0,0,0
776899,8,1,133,0,0,0,0
