gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777980,2025-05-10T20:05:00Z,2025-05-10,1,R,F,Final,138,St. Louis Cardinals,4,120,Washington Nationals,2,3309,Nationals Park,9
777985,2025-05-10T20:05:00Z,2025-05-10,1,R,F,Final,144,Atlanta Braves,3,134,Pittsburgh Pirates,2,31,PNC Park,9
777972,2025-05-10T20:05:00Z,2025-05-10,1,R,F,Final,147,New York Yankees,7,133,Athletics,11,2529,Sutter Health Park,9
777981,2025-05-10T20:10:00Z,2025-05-10,1,R,F,Final,158,Milwaukee Brewers,2,139,Tampa Bay Rays,3,2523,George M. Steinbrenner Field,9
777987,2025-05-10T22:10:00Z,2025-05-10,1,R,F,Final,140,Texas Rangers,10,116,Detroit Tigers,3,2394,Comerica Park,9
777983,2025-05-10T22:10:00Z,2025-05-10,1,R,F,Final,143,Philadelphia Phillies,7,114,Cleveland Guardians,1,5,Progressive Field,9
777979,2025-05-10T23:10:00Z,2025-05-10,1,R,F,Final,113,Cincinnati Reds,13,117,Houston Astros,9,2392,Daikin Park,9
777977,2025-05-10T23:10:00Z,2025-05-10,1,R,F,Final,111,Boston Red Sox,10,118,Kansas City Royals,1,7,Kauffman Stadium,9
777978,2025-05-10T23:10:00Z,2025-05-10,1,R,F,Final,146,Miami Marlins,3,145,Chicago White Sox,1,4,Rate Field,9
777982,2025-05-10T23:15:00Z,2025-05-10,1,R,F,Final,112,Chicago Cubs,6,121,New York Mets,5,3289,Citi Field,9
777974,2025-05-10T23:15:00Z,2025-05-10,1,R,F,Final,137,San Francisco Giants,1,142,Minnesota Twins,2,3312,Target Field,9
777975,2025-05-11T00:10:00Z,2025-05-10,1,R,F,Final,119,Los Angeles Dodgers,0,109,Arizona Diamondbacks,3,15,Chase Field,9
777976,2025-05-11T00:10:00Z,2025-05-10,1,R,F,Final,135,San Diego Padres,21,115,Colorado Rockies,0,19,Coors Field,9
777973,2025-05-11T01:38:00Z,2025-05-10,1,R,F,Final,110,Baltimore Orioles,2,108,Los Angeles Angels,5,1,Angel Stadium,9
777970,2025-05-11T01:40:00Z,2025-05-10,1,R,F,Final,141,Toronto Blue Jays,6,136,Seattle Mariners,3,680,T-Mobile Park,9
