gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777198,1,0,121,0,0,0,0
777198,1,1,110,0,1,0,0
777198,2,0,121,0,0,0,0
777198,2,1,110,0,0,0,0
777198,3,0,121,0,1,0,1
777198,3,1,110,1,1,0,1
777198,4,0,121,0,1,0,0
777198,4,1,110,0,0,0,0
777198,5,0,121,0,0,0,0
777198,5,1,110,0,1,0,1
777198,6,0,121,2,3,0,2
777198,6,1,110,4,4,0,1
777198,7,0,121,0,0,0,1
777198,7,1,110,1,1,0,0
777198,8,0,121,4,4,0,0
777198,8,1,110,0,1,0,1
777198,9,0,121,0,0,0,1
777198,9,1,110,0,0,0,0
777198,10,0,121,1,2,0,3
777198,10,1,110,0,0,0,1
777195,1,0,139,1,1,0,0
777195,1,1,116,0,0,0,0
777195,2,0,139,0,2,0,2
777195,2,1,116,0,0,0,0
777195,3,0,139,1,2,0,1
777195,3,1,116,0,0,0,2
777195,4,0,139,0,0,0,1
777195,4,1,116,1,1,0,0
777195,5,0,139,0,1,0,0
777195,5,1,116,1,2,0,2
777195,6,0,139,0,0,0,0
777195,6,1,116,0,0,0,0
777195,7,0,139,0,1,0,1
777195,7,1,116,2,1,1,0
777195,8,0,139,0,0,0,0
777195,8,1,116,0,0,0,3
777195,9,0,139,0,1,0,1
777195,9,1,116,,0,0,0
777187,1,0,136,0,1,0,1
777187,1,1,147,0,0,0,0
777187,2,0,136,0,0,0,0
777187,2,1,147,0,0,0,0
777187,3,0,136,0,1,0,1
777187,3,1,147,0,0,0,0
777187,4,0,136,0,0,0,0
777187,4,1,147,0,1,0,1
777187,5,0,136,0,2,1,2
777187,5,1,147,1,1,0,2
777187,6,0,136,0,0,0,2
777187,6,1,147,5,5,0,0
777187,7,0,136,0,0,1,0
777187,7,1,147,4,5,0,1
777187,8,0,136,3,3,0,0
777187,8,1,147,0,0,0,0
777187,9,0,136,0,0,0,1
777187,9,1,147,,0,0,0
777196,1,0,115,0,0,1,0
777196,1,1,111,0,0,0,1
777196,2,0,115,0,0,0,0
777196,2,1,111,0,0,0,0
777196,3,0,115,0,0,0,0
777196,3,1,111,0,0,0,0
777196,4,0,115,0,1,0,1
777196,4,1,111,0,2,0,1
777196,5,0,115,0,0,0,1
777196,5,1,111,0,0,0,1
777196,6,0,115,0,0,0,0
777196,6,1,111,4,4,0,1
777196,7,0,115,0,0,1,0
777196,7,1,111,6,4,0,0
777196,8,0,115,0,1,0,1
777196,8,1,111,0,0,0,0
777196,9,0,115,2,3,0,1
777196,9,1,111,,0,0,0
777197,1,0,146,0,0,0,0
777197,1,1,113,1,1,0,0
777197,2,0,146,0,0,0,0
777197,2,1,113,0,0,0,0
777197,3,0,146,7,6,0,0
777197,3,1,113,0,1,0,1
777197,4,0,146,0,0,0,0
777197,4,1,113,0,0,0,0
777197,5,0,146,0,0,0,0
777197,5,1,113,0,0,0,0
777197,6,0,146,3,2,0,1
777197,6,1,113,0,0,0,2
777197,7,0,146,0,0,0,0
777197,7,1,113,0,2,0,2
777197,8,0,146,1,1,0,3
777197,8,1,113,0,0,1,0
777197,9,0,146,1,3,1,2
777197,9,1,113,1,1,0,3
777194,1,0,134,0,1,0,1
777194,1,1,118,0,2,0,2
777194,2,0,134,0,0,0,0
777194,2,1,118,1,1,0,0
777194,3,0,134,0,0,0,1
777194,3,1,118,0,0,0,0
777194,4,0,134,1,1,0,0
777194,4,1,118,0,0,0,0
777194,5,0,134,0,1,0,0
777194,5,1,118,0,0,0,0
777194,6,0,134,0,0,0,0
777194,6,1,118,0,0,0,0
777194,7,0,134,1,1,0,0
777194,7,1,118,2,1,0,1
777194,8,0,134,1,1,0,2
777194,8,1,118,0,0,1,0
777194,9,0,134,0,1,0,1
777194,9,1,118,1,3,0,2
777190,1,0,112,0,0,0,1
777190,1,1,142,2,3,0,1
777190,2,0,112,0,1,0,0
777190,2,1,142,0,0,0,0
777190,3,0,112,0,1,0,2
777190,3,1,142,0,0,0,0
777190,4,0,112,0,0,0,0
777190,4,1,142,0,1,0,1
777190,5,0,112,0,0,0,1
777190,5,1,142,0,0,0,0
777190,6,0,112,0,1,0,2
777190,6,1,142,0,1,0,1
777190,7,0,112,0,0,0,0
777190,7,1,142,0,1,0,1
777190,8,0,112,0,1,0,2
777190,8,1,142,6,6,0,1
777190,9,0,112,1,2,0,0
777190,9,1,142,,0,0,0
777188,1,0,141,0,1,0,2
777188,1,1,145,0,1,0,1
777188,2,0,141,0,0,0,0
777188,2,1,145,0,1,0,1
777188,3,0,141,5,5,0,1
777188,3,1,145,0,0,0,0
777188,4,0,141,0,1,0,2
777188,4,1,145,0,0,1,0
777188,5,0,141,0,1,0,1
