gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
778971,2025-03-07T18:05:00Z,2025-03-07,1,S,F,Final: Tied,142,Minnesota Twins,9,139,Tampa Bay Rays,9,2534,Charlotte Sports Park,9
779032,2025-03-07T18:05:00Z,2025-03-07,1,S,F,Final,143,Philadelphia Phillies,2,134,Pittsburgh Pirates,3,2526,LECOM Park,9
778874,2025-03-07T18:05:00Z,2025-03-07,1,S,F,Final,144,Atlanta Braves,1,142,Minnesota Twins,7,2862,Lee Health Sports Complex,9
778773,2025-03-07T18:05:00Z,2025-03-07,1,S,F,Final,146,Miami Marlins,5,111,Boston Red Sox,20,4309,JetBlue Park,9
778929,2025-03-07T20:05:00Z,2025-03-07,1,S,F,Final,108,Los Angeles Angels,2,118,Kansas City Royals,8,2603,Surprise Stadium,9
779141,2025-03-07T20:05:00Z,2025-03-07,1,S,F,Final,114,Cleveland Guardians,12,133,Athletics,5,2507,Hohokam Stadium,9
779109,2025-03-07T23:05:00Z,2025-03-07,1,S,F,Final,110,Baltimore Orioles,7,116,Detroit Tigers,11,2511,Publix Field at Joker Marchant Stadium,9
778734,2025-03-07T23:05:00Z,2025-03-07,1,S,F,Final,121,New York Mets,4,120,Washington Nationals,5,5000,CACTI Park of the Palm Beaches,9
779075,2025-03-07T23:05:00Z,2025-03-07,1,S,F,Final,117,Houston Astros,4,138,St. Louis Cardinals,6,2520,Roger Dean Chevrolet Stadium,9
779045,2025-03-07T23:35:00Z,2025-03-07,1,S,F,Final,141,Toronto Blue Jays,7,147,New York Yankees,8,2523,George M. Steinbrenner Field,9
779016,2025-03-08T01:40:00Z,2025-03-07,1,S,F,Final,119,Los Angeles Dodgers,6,136,Seattle Mariners,4,2530,Peoria Stadium,9
778826,2025-03-07T20:05:00Z,2025-03-07,1,S,C,Cancelled,137,San Francisco Giants,,113,Cincinnati Reds,,3834,Goodyear Ballpark,9
778854,2025-03-07T20:05:00Z,2025-03-07,1,S,C,Cancelled,112,Chicago Cubs,,145,Chicago White Sox,,3809,Camelback Ranch,9
779154,2025-03-07T20:10:00Z,2025-03-07,1,S,C,Cancelled,109,Arizona Diamondbacks,,108,Los Angeles Angels,,2500,Tempe Diablo Stadium,9
779097,2025-03-07T20:10:00Z,2025-03-07,1,S,C,Cancelled,135,San Diego Padres,,158,Milwaukee Brewers,,2518,American Family Fields of Phoenix,9
778795,2025-03-08T01:40:00Z,2025-03-07,1,S,C,Cancelled,140,Texas Rangers,,115,Colorado Rockies,,4249,Salt River Fields at Talking Stick,9
