gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777944,1,0,158,0,1,0,1
777944,1,1,114,1,2,0,0
777944,2,0,158,0,0,0,0
777944,2,1,114,0,0,0,0
777944,3,0,158,0,0,0,0
777944,3,1,114,0,1,0,1
777944,4,0,158,0,0,0,0
777944,4,1,114,0,0,0,0
777944,5,0,158,0,1,0,2
777944,5,1,114,0,0,0,0
777944,6,0,158,0,1,0,1
777944,6,1,114,0,2,0,2
777944,7,0,158,0,0,0,0
777944,7,1,114,0,0,0,3
777944,8,0,158,0,0,0,0
777944,8,1,114,1,2,0,2
777944,9,0,158,0,0,0,0
777944,9,1,114,,0,0,0
777940,1,0,111,0,0,0,0
777940,1,1,116,1,2,0,1
777940,2,0,111,1,2,0,1
777940,2,1,116,0,0,0,0
777940,3,0,111,0,0,1,0
777940,3,1,116,1,1,0,1
777940,4,0,111,1,1,0,1
777940,4,1,116,1,1,0,0
777940,5,0,111,2,3,0,1
777940,5,1,116,0,2,0,2
777940,6,0,111,0,2,0,3
777940,6,1,116,3,1,0,0
777940,7,0,111,0,0,0,0
777940,7,1,116,0,1,0,2
777940,8,0,111,2,3,0,2
777940,8,1,116,0,0,0,0
777940,9,0,111,0,1,0,1
777940,9,1,116,0,0,0,0
777940,10,0,111,1,1,0,1
777940,10,1,116,1,1,0,1
777940,11,0,111,2,1,0,0
777940,11,1,116,3,2,0,0
777945,1,0,145,0,0,0,0
777945,1,1,113,0,0,0,0
777945,2,0,145,0,1,0,1
777945,2,1,113,0,0,0,0
777945,3,0,145,0,0,0,0
777945,3,1,113,0,1,0,2
777945,4,0,145,1,2,0,1
777945,4,1,113,0,1,0,0
777945,5,0,145,0,0,0,0
777945,5,1,113,0,1,0,1
777945,6,0,145,0,1,0,1
777945,6,1,113,0,1,0,1
777945,7,0,145,0,2,0,1
777945,7,1,113,0,0,0,0
777945,8,0,145,0,0,0,0
777945,8,1,113,0,1,0,1
777945,9,0,145,0,1,0,1
777945,9,1,113,1,1,0,0
777945,10,0,145,4,2,0,1
777945,10,1,113,0,0,0,1
777935,1,0,139,0,0,0,2
777935,1,1,141,0,0,0,0
777935,2,0,139,0,0,0,0
777935,2,1,141,0,0,0,0
777935,3,0,139,4,4,0,1
777935,3,1,141,2,2,0,0
777935,4,0,139,0,0,0,0
777935,4,1,141,1,1,0,0
777935,5,0,139,0,0,0,0
777935,5,1,141,0,1,0,2
777935,6,0,139,1,1,0,0
777935,6,1,141,0,0,0,0
777935,7,0,139,1,1,0,0
777935,7,1,141,1,1,0,0
777935,8,0,139,0,0,0,0
777935,8,1,141,3,2,0,1
777935,9,0,139,5,4,0,0
777935,9,1,141,2,3,0,2
777943,1,0,134,0,0,0,0
777943,1,1,121,1,2,0,1
777943,2,0,134,0,1,0,1
777943,2,1,121,0,0,0,0
777943,3,0,134,0,2,0,2
777943,3,1,121,0,0,0,1
