gamepk,inning,half,battingteamid,runs,hits,errors,leftonbase,cummulative_score,batting_team_score,batting_team_scores,score_difference
778949,8,0,140,2.0,3,0,0,2.0,0,0.0,-2.0
778949,8,1,118,3.0,4,0,2,5.0,2,2.0,0.0
778949,9,0,140,0.0,1,0,1,2.0,2,2.0,-3.0
778949,9,1,118,,0,0,0,,5,5.0,3.0
787940,1,0,115,0.0,0,0,0,0.0,0,0.0,0.0
787940,1,1,109,0.0,0,0,0,0.0,0,0.0,0.0
787940,2,0,115,0.0,1,0,1,0.0,0,0.0,0.0
787940,2,1,109,0.0,1,0,1,0.0,0,0.0,0.0
787940,3,0,115,0.0,0,0,3,0.0,0,0.0,0.0
787940,3,1,109,3.0,4,0,1,3.0,0,0.0,0.0
787940,4,0,115,5.0,4,0,0,5.0,0,0.0,-3.0
787940,4,1,109,0.0,0,0,1,3.0,3,3.0,-2.0
787940,5,0,115,0.0,0,0,0,5.0,5,5.0,2.0
787940,5,1,109,3.0,4,0,1,6.0,3,3.0,-2.0
787940,6,0,115,0.0,0,0,0,5.0,5,5.0,-1.0
787940,6,1,109,0.0,0,0,0,6.0,6,6.0,1.0
787940,7,0,115,1.0,2,0,1,6.0,5,5.0,-1.0
787940,7,1,109,0.0,0,0,0,6.0,6,6.0,0.0
787940,8,0,115,0.0,1,0,3,6.0,6,6.0,0.0
787940,8,1,109,0.0,0,0,0,6.0,6,6.0,0.0
787940,9,0,115,6.0,4,0,3,12.0,6,6.0,0.0
787940,9,1,109,2.0,3,0,1,8.0,6,6.0,-6.0
788017,1,0,136,0.0,0,0,0,0.0,0,0.0,0.0
788017,1,1,135,3.0,3,0,1,3.0,0,0.0,0.0
788017,2,0,136,0.0,0,0,0,0.0,0,0.0,-3.0
788017,2,1,135,0.0,0,0,0,3.0,3,3.0,3.0
788017,3,0,136,1.0,0,0,1,1.0,0,0.0,-3.0
788017,3,1,135,1.0,1,0,1,4.0,3,3.0,2.0
788017,4,0,136,0.0,0,1,0,1.0,1,1.0,-3.0
788017,4,1,135,1.0,1,0,2,5.0,4,4.0,3.0
788017,5,0,136,0.0,0,0,1,1.0,1,1.0,-4.0
788017,5,1,135,0.0,1,0,3,5.0,5,5.0,4.0
788017,6,0,136,0.0,1,0,1,1.0,1,1.0,-4.0
788017,6,1,135,0.0,2,0,2,5.0,5,5.0,4.0
788017,7,0,136,0.0,0,0,0,1.0,1,1.0,-4.0
788017,7,1,135,0.0,1,0,1,5.0,5,5.0,4.0
788017,8,0,136,0.0,0,0,0,1.0,1,1.0,-4.0
788017,8,1,135,0.0,0,0,0,5.0,5,5.0,4.0
788017,9,0,136,1.0,1,0,0,2.0,1,1.0,-4.0
788017,9,1,135,,0,0,0,,5,5.0,3.0
778740,1,0,120,0.0,0,0,0,0.0,0,0.0,0.0
778740,1,1,117,0.0,0,0,0,0.0,0,0.0,0.0
778740,2,0,120,0.0,0,0,1,0.0,0,0.0,0.0
778740,2,1,117,0.0,0,0,0,0.0,0,0.0,0.0
778740,3,0,120,1.0,2,0,1,1.0,0,0.0,0.0
778740,3,1,117,1.0,0,0,0,1.0,0,0.0,-1.0
778740,4,0,120,1.0,2,0,1,2.0,1,1.0,0.0
778740,4,1,117,0.0,0,0,0,1.0,1,1.0,-1.0
778740,5,0,120,1.0,2,0,1,3.0,2,2.0,1.0
778740,5,1,117,0.0,0,0,0,1.0,1,1.0,-2.0
778740,6,0,120,0.0,0,0,0,3.0,3,3.0,2.0
778740,6,1,117,0.0,1,0,3,1.0,1,1.0,-2.0
778740,7,0,120,0.0,0,0,0,3.0,3,3.0,2.0
778740,7,1,117,0.0,0,0,2,1.0,1,1.0,-2.0
778740,8,0,120,0.0,1,0,1,3.0,3,3.0,2.0
778740,8,1,117,2.0,1,0,0,3.0,1,1.0,-2.0
778740,9,0,120,3.0,1,0,1,6.0,3,3.0,0.0
778740,9,1,117,0.0,0,0,0,3.0,3,3.0,-3.0
779135,1,0,134,2.0,2,0,1,2.0,0,0.0,0.0
779135,1,1,110,0.0,1,0,1,0.0,0,0.0,-2.0
779135,2,0,134,0.0,1,0,2,2.0,2,2.0,2.0
779135,2,1,110,2.0,3,0,1,2.0,0,0.0,-2.0
779135,3,0,134,1.0,1,0,0,3.0,2,2.0,0.0
779135,3,1,110,0.0,0,0,0,2.0,2,2.0,-1.0
779135,4,0,134,0.0,0,1,0,3.0,3,3.0,1.0
779135,4,1,110,1.0,0,0,2,3.0,2,2.0,-1.0
779135,5,0,134,0.0,0,0,2,3.0,3,3.0,0.0
779135,5,1,110,0.0,0,0,0,3.0,3,3.0,0.0
779135,6,0,134,2.0,3,0,1,5.0,3,3.0,0.0
779135,6,1,110,0.0,0,0,0,3.0,3,3.0,-2.0
779135,7,0,134,0.0,0,0,0,5.0,5,5.0,2.0
779135,7,1,110,0.0,2,0,2,3.0,3,3.0,-2.0
779135,8,0,134,1.0,2,0,3,6.0,5,5.0,2.0
779135,8,1,110,2.0,1,0,1,5.0,3,3.0,-3.0
779135,9,0,134,4.0,3,0,0,10.0,6,6.0,1.0
779135,9,1,110,0.0,0,0,0,5.0,5,5.0,-5.0
778977,1,0,111,1.0,1,0,2,1.0,0,0.0,0.0
778977,1,1,139,0.0,0,0,1,0.0,0,0.0,-1.0
778977,2,0,111,0.0,0,0,1,1.0,1,1.0,1.0
778977,2,1,139,1.0,2,0,0,1.0,0,0.0,-1.0
778977,3,0,111,1.0,1,0,0,2.0,1,1.0,0.0
778977,3,1,139,0.0,0,0,1,1.0,1,1.0,-1.0
778977,4,0,111,2.0,2,0,0,4.0,2,2.0,1.0
778977,4,1,139,0.0,2,0,2,1.0,1,1.0,-3.0
778977,5,0,111,0.0,1,0,3,4.0,4,4.0,3.0
778977,5,1,139,0.0,1,0,2,1.0,1,1.0,-3.0
778977,6,0,111,0.0,1,0,2,4.0,4,4.0,3.0
778977,6,1,139,0.0,0,1,0,1.0,1,1.0,-3.0
778977,7,0,111,0.0,0,0,1,4.0,4,4.0,3.0
778977,7,1,139,3.0,4,0,1,4.0,1,1.0,-3.0
778977,8,0,111,0.0,0,1,0,4.0,4,4.0,0.0
778977,8,1,139,0.0,0,0,1,4.0,4,4.0,0.0
778977,9,0,111,2.0,1,0,0,6.0,4,4.0,0.0
778977,9,1,139,0.0,0,0,0,4.0,4,4.0,-2.0
779117,1,0,143,0.0,0,0,0,0.0,0,0.0,0.0
779117,1,1,116,0.0,0,0,0,0.0,0,0.0,0.0
779117,2,0,143,0.0,0,0,0,0.0,0,0.0,0.0
779117,2,1,116,0.0,1,1,1,0.0,0,0.0,0.0
779117,3,0,143,3.0,4,0,3,3.0,0,0.0,0.0
779117,3,1,116,0.0,0,0,1,0.0,0,0.0,-3.0
