gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
778268,2025-04-18T18:20:00Z,2025-04-18,1,R,F,Final,109,Arizona Diamondbacks,11,112,Chicago Cubs,13,17,Wrigley Field,9
778277,2025-04-18T22:40:00Z,2025-04-18,1,R,F,Final,118,Kansas City Royals,3,116,Detroit Tigers,7,2394,Comerica Park,9
778271,2025-04-18T22:40:00Z,2025-04-18,1,R,F,Final,114,Cleveland Guardians,10,134,Pittsburgh Pirates,7,31,PNC Park,9
778274,2025-04-18T22:45:00Z,2025-04-18,1,R,F,Final,146,Miami Marlins,2,143,Philadelphia Phillies,7,2681,Citizens Bank Park,9
778276,2025-04-18T23:05:00Z,2025-04-18,1,R,F,Final,113,Cincinnati Reds,8,110,Baltimore Orioles,3,2,Oriole Park at Camden Yards,9
778272,2025-04-18T23:05:00Z,2025-04-18,1,R,F,Final,147,New York Yankees,1,139,Tampa Bay Rays,0,2523,George M. Steinbrenner Field,9
778273,2025-04-18T23:07:00Z,2025-04-18,1,R,F,Final,136,Seattle Mariners,1,141,Toronto Blue Jays,3,14,Rogers Centre,9
778270,2025-04-18T23:10:00Z,2025-04-18,1,R,F,Final,138,St. Louis Cardinals,4,121,New York Mets,5,3289,Citi Field,9
778275,2025-04-18T23:10:00Z,2025-04-18,1,R,F,Final,145,Chicago White Sox,3,111,Boston Red Sox,10,3,Fenway Park,9
778284,2025-04-18T23:15:00Z,2025-04-18,1,R,F,Final,142,Minnesota Twins,4,144,Atlanta Braves,6,4705,Truist Park,9
778263,2025-04-19T00:05:00Z,2025-04-18,1,R,F,Final,119,Los Angeles Dodgers,3,140,Texas Rangers,0,5325,Globe Life Field,9
778269,2025-04-19T00:10:00Z,2025-04-18,1,R,F,Final,135,San Diego Padres,4,117,Houston Astros,6,2392,Daikin Park,9
778261,2025-04-19T00:10:00Z,2025-04-18,1,R,F,Final,133,Athletics,3,158,Milwaukee Brewers,5,32,American Family Field,9
778260,2025-04-19T01:38:00Z,2025-04-18,1,R,F,Final,137,San Francisco Giants,0,108,Los Angeles Angels,2,1,Angel Stadium,9
778266,2025-04-19T00:40:00Z,2025-04-20,1,R,D,Postponed,120,Washington Nationals,,115,Colorado Rockies,,19,Coors Field,9
