gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
776927,0,6,5f26cd71-249d-32ab-91d8-70b1bbc2aa2d,802415,Chandler Simpson,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,1,3,e084e4ba-940d-31f8-968b-2e1281fc638a,664040,Brandon Lowe,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776927,2,2,264bda4e-e62d-30a6-a0c9-0c48cf220398,650490,Yandy Díaz,,,1B,Hit By Pitch,hit_by_pitch,,False,,,False,False,False,False,
776927,3,1,b64f085c-1cc6-3a8e-8d2e-e8712d6fc319,666018,Jonathan Aranda,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,4,4,722930c6-9de6-3b4e-9442-f6b847841e82,700250,Ben Rice,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776927,5,2,008c055e-f145-38c3-a1a1-05f7a4fa4ce6,502671,Paul Goldschmidt,,,2B,Double,double,,False,,,False,False,False,False,
776927,6,4,306b1ff4-d8b5-389a-b96e-49de96ae3c70,641355,Cody Bellinger,,,1B,Single,single,,False,,,False,False,False,False,
776927,6,4,306b1ff4-d8b5-389a-b96e-49de96ae3c70,502671,Paul Goldschmidt,2B,2B,score,Single,single,r_adv_play,False,,,True,True,True,False,686752
776927,7,1,5b33e9db-7b4f-340b-af27-2ae545b3dacc,519317,Giancarlo Stanton,,,score,Home Run,home_run,,False,,,True,True,True,False,686752
776927,7,1,5b33e9db-7b4f-340b-af27-2ae545b3dacc,641355,Cody Bellinger,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,686752
776927,8,2,b01c35ba-0395-30f8-b828-a70e595727fd,665862,Jazz Chisholm Jr.,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,9,5,6a827e81-b7e5-32b1-94a0-666dd850322d,691176,Jasson Domínguez,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,10,8,2f2f3c94-65e6-3bef-8230-3d8ae3625f7a,691406,Junior Caminero,,,,Lineout,field_out,,True,1B,1,False,False,False,False,
776927,11,7,88a7e8e8-0c9a-3362-b5c0-1df4891c69a7,666139,Josh Lowe,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,12,1,2e3269f4-2e58-30f4-9b5e-2b8ba24e3c32,676356,Jonny DeLuca,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,13,4,3f067257-c805-3c4d-9a83-9c10fd226889,596103,Austin Slater,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,14,6,2d0133f3-1e7f-3cd6-b21c-fa60d85a5449,641857,Ryan McMahon,,,1B,Walk,walk,,False,,,False,False,False,False,
776927,15,10,036f4b02-c8f0-32aa-b517-a748ecc9ce0c,641857,Ryan McMahon,1B,1B,2B,Walk,walk,r_adv_force,False,,,False,False,False,False,
776927,15,10,036f4b02-c8f0-32aa-b517-a748ecc9ce0c,683011,Anthony Volpe,,,1B,Walk,walk,,False,,,False,False,False,False,
776927,16,5,3b1f7d9c-1af2-39f7-8aae-fec29d4696e1,700250,Ben Rice,,,score,Home Run,home_run,,False,,,True,True,True,False,686752
776927,16,5,3b1f7d9c-1af2-39f7-8aae-fec29d4696e1,641857,Ryan McMahon,2B,2B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,686752
776927,16,5,3b1f7d9c-1af2-39f7-8aae-fec29d4696e1,683011,Anthony Volpe,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,686752
776927,17,3,be6bed20-0902-33fe-800e-c5d8319622b5,502671,Paul Goldschmidt,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,18,5,4fd2a8ff-8e52-3e98-a1f7-c7e0553842e4,641355,Cody Bellinger,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,19,2,459a4413-76f1-3f9c-a714-b932d01ad785,670764,Taylor Walls,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,20,4,bae94248-3808-3679-95d5-cf472f00c695,663743,Nick Fortes,,,,Pop Out,field_out,,True,1B,2,False,False,False,False,
776927,21,2,3850dd5d-0484-3b10-ba0c-f98bf08ba391,802415,Chandler Simpson,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
776927,22,3,69a14f45-84ad-35ee-8c53-211995d7434e,519317,Giancarlo Stanton,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
776927,23,3,9d1c5dac-5748-3696-9d5e-79401531b967,665862,Jazz Chisholm Jr.,,,1B,Walk,walk,,False,,,False,False,False,False,
776927,24,2,1eb4ece0-d729-33f3-8632-e3acaec70c29,691176,Jasson Domínguez,,,1B,Single,single,,False,,,False,False,False,False,
776927,24,2,1eb4ece0-d729-33f3-8632-e3acaec70c29,665862,Jazz Chisholm Jr.,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
776927,24,2,1eb4ece0-d729-33f3-8632-e3acaec70c29,665862,Jazz Chisholm Jr.,1B,2B,3B,Single,single,r_adv_play,False,,,False,False,False,False,
776927,25,0,4abb2053-df95-3c20-91e2-5ec354377533,691176,Jasson Domínguez,1B,1B,,Forceout,force_out,r_force_out,True,2B,2,False,False,False,False,
776927,25,0,4abb2053-df95-3c20-91e2-5ec354377533,665862,Jazz Chisholm Jr.,3B,3B,score,Forceout,force_out,r_adv_play,False,,,True,True,True,False,686752
776927,25,0,4abb2053-df95-3c20-91e2-5ec354377533,596103,Austin Slater,,,1B,Forceout,force_out,,False,,,False,False,False,False,
776927,26,0,60d3045d-577e-34ef-8425-5b5a3ea859f7,641857,Ryan McMahon,,,1B,Single,single,,False,,,False,False,False,False,
776927,26,0,60d3045d-577e-34ef-8425-5b5a3ea859f7,596103,Austin Slater,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
776927,27,5,af647020-a9a2-31c6-aef6-7cefd44c567c,683011,Anthony Volpe,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
776927,28,7,9c991802-475e-31b3-ba8c-516e2be8a578,664040,Brandon Lowe,,,1B,Single,single,,False,,,False,False,False,False,
776927,29,1,83d3f139-af3c-3d02-bb41-ce044771d0fb,666624,Christopher Morel,,,2B,Double,double,,False,,,False,False,False,False,
776927,29,1,83d3f139-af3c-3d02-bb41-ce044771d0fb,664040,Brandon Lowe,1B,1B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
776927,30,2,498c9bbe-16e0-3cbf-abb5-bf9f094fa247,666018,Jonathan Aranda,,,1B,Single,single,,False,,,False,False,False,False,
776927,30,2,498c9bbe-16e0-3cbf-abb5-bf9f094fa247,664040,Brandon Lowe,3B,3B,score,Single,single,r_adv_play,False,,,True,True,True,False,573186
776927,30,2,498c9bbe-16e0-3cbf-abb5-bf9f094fa247,666624,Christopher Morel,2B,2B,3B,Single,single,r_adv_play,False,,,False,False,False,False,
776927,31,0,75f42283-ae1b-3b0e-b976-d84c1a0790d4,691406,Junior Caminero,,,,Sac Fly,sac_fly,,True,1B,1,False,False,False,False,
776927,31,0,75f42283-ae1b-3b0e-b976-d84c1a0790d4,666624,Christopher Morel,3B,3B,score,Sac Fly,sac_fly,r_adv_play,False,,,True,True,True,False,573186
776927,32,5,59d184fe-2fa7-394d-bf58-20a203166ec2,666018,Jonathan Aranda,1B,1B,,Forceout,force_out,r_force_out,True,2B,2,False,False,False,False,
776927,32,5,59d184fe-2fa7-394d-bf58-20a203166ec2,666139,Josh Lowe,,,1B,Forceout,force_out,,False,,,False,False,False,False,
776927,33,1,ce6b7d3c-d18a-386f-be34-6390f992f661,666139,Josh Lowe,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
776927,33,3,ef1fb3bb-b41a-35df-ad38-65b55f9b5f2b,676356,Jonny DeLuca,,,1B,Single,single,,False,,,False,False,False,False,
776927,33,3,ef1fb3bb-b41a-35df-ad38-65b55f9b5f2b,666139,Josh Lowe,2B,2B,score,Single,single,r_adv_play,False,,,True,True,True,False,573186
776927,34,5,8ba22394-2227-3a79-b9c9-6822e0956fc2,676356,Jonny DeLuca,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
776927,34,6,022767a6-4818-39a0-b1ab-225dbc990e7b,670764,Taylor Walls,,,2B,Double,double,,False,,,False,False,False,False,
776927,34,6,022767a6-4818-39a0-b1ab-225dbc990e7b,676356,Jonny DeLuca,2B,2B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
776927,34,6,022767a6-4818-39a0-b1ab-225dbc990e7b,676356,Jonny DeLuca,2B,3B,score,Double,double,r_adv_play,False,,,True,True,True,False,573186
776927,35,3,68425622-edf4-3e0a-a2d3-8406115399bf,663743,Nick Fortes,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,36,3,bf2d1c23-dafa-377a-aaef-03c671b7363a,700250,Ben Rice,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
776927,37,8,30bcaadd-cda7-3d23-9019-53f1079d8ab1,502671,Paul Goldschmidt,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,38,4,99544d1a-2acf-36e9-84e2-45b7bc529617,641355,Cody Bellinger,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
776927,39,2,c88d5c69-3752-340d-bda0-c7830540c992,663968,Jake Mangum,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776927,40,5,2a29f7cc-6b4a-3220-85c6-98dbdeb195d9,664040,Brandon Lowe,,,1B,Single,single,,False,,,False,False,False,False,
776927,41,0,2dd6865c-361e-3a62-8ba5-86441baa7656,664040,Brandon Lowe,1B,1B,,Grounded Into DP,grounded_into_double_play,r_force_out,True,2B,2,False,False,False,False,
776927,41,0,2dd6865c-361e-3a62-8ba5-86441baa7656,666624,Christopher Morel,,,,Grounded Into DP,grounded_into_double_play,,True,1B,3,False,False,False,False,
776927,42,3,17bd0986-abe9-39c0-b99c-74952c8e0adc,519317,Giancarlo Stanton,,,1B,Field Error,field_error,,False,,,False,False,False,False,
776927,43,7,83d95d63-3135-3440-9d1f-aee61c135ada,519317,Giancarlo Stanton,1B,1B,,Forceout,force_out,r_force_out,True,2B,1,False,False,False,False,
776927,43,7,83d95d63-3135-3440-9d1f-aee61c135ada,665862,Jazz Chisholm Jr.,,,1B,Forceout,force_out,,False,,,False,False,False,False,
776927,44,6,387caf69-2d25-3734-93e7-a4c8f51fd241,665862,Jazz Chisholm Jr.,1B,1B,2B,Passed Ball,passed_ball,r_adv_play,False,,,False,False,False,False,
776927,44,8,ec0b279a-7a42-3f18-9c6e-d86b446c6072,665862,Jazz Chisholm Jr.,2B,2B,3B,Stolen Base 3B,stolen_base_3b,r_stolen_base_3b,False,,,False,False,False,False,
776927,44,8,ec0b279a-7a42-3f18-9c6e-d86b446c6072,691176,Jasson Domínguez,,,1B,Walk,walk,,False,,,False,False,False,False,
776927,45,10,18daa898-e4e3-312f-81a6-2b48187cefd3,691176,Jasson Domínguez,1B,1B,,Grounded Into DP,grounded_into_double_play,r_force_out,True,2B,2,False,False,False,False,
776927,45,10,18daa898-e4e3-312f-81a6-2b48187cefd3,596103,Austin Slater,,,,Grounded Into DP,grounded_into_double_play,,True,1B,3,False,False,False,False,
776927,46,6,a59073b4-f718-385f-ab08-90a5661d1f4e,676609,José Caballero,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
776927,47,4,1057b3d8-526e-325b-b56b-868e3ec9be21,691406,Junior Caminero,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,48,2,0ad201ec-0ce2-3f24-9a5d-216136d1f4a0,666139,Josh Lowe,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
776927,49,3,11409af7-238d-3ba9-b801-dbbb70257419,641857,Ryan McMahon,,,1B,Single,single,,False,,,False,False,False,False,
776927,50,4,537373c2-f029-3791-ad25-a61f42f78d7a,683011,Anthony Volpe,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,51,4,267d2bc2-7a96-3112-aee9-eb1bd51f4c2d,700250,Ben Rice,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776927,52,6,b77249c8-afb7-3593-9877-0de635e4f637,502671,Paul Goldschmidt,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776927,53,2,9183fdeb-f54c-3042-8855-6c9df04b1d4d,676356,Jonny DeLuca,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,54,3,8ba829c3-27df-3553-a698-74fa4434136c,670764,Taylor Walls,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,55,3,d8050067-b18c-3fd5-a7ae-b9efafa57152,663743,Nick Fortes,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776927,56,4,12bb85fc-1213-3c6d-8ea7-c3d121bbde0a,641355,Cody Bellinger,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
776927,57,4,f2c088c1-a4ff-3e63-b179-d0553ca02b46,519317,Giancarlo Stanton,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,58,5,cc429969-f7a8-38b9-903f-f69f6cb54c1f,665862,Jazz Chisholm Jr.,,,1B,Single,single,,False,,,False,False,False,False,
776927,59,1,d816e849-c9c6-3e9e-ade4-0224f271cbe9,665862,Jazz Chisholm Jr.,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
776927,59,2,5f53d092-add5-3d16-a593-39e199a56d0b,691176,Jasson Domínguez,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
776927,60,2,6fe2c492-44ec-3f10-924b-30aa2b5b7fd3,663968,Jake Mangum,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776927,61,2,4a4f2911-2adf-392b-88a9-482a17f2a252,664040,Brandon Lowe,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
776927,62,4,a24bd912-da73-3b00-80e8-c012221dbc1c,666624,Christopher Morel,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776927,63,5,6dcede45-91e7-3134-92da-0ad0534ed0e2,596103,Austin Slater,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
776927,64,4,cb4f7547-88aa-3be3-b714-def80bfba1cd,641857,Ryan McMahon,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776927,65,3,866f7fc0-b8ae-3a1d-b62b-f1a24b03aca4,683011,Anthony Volpe,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776927,66,3,cc1ad849-3fd0-3d5f-a2e0-440a5833ab4d,642136,Matt Thaiss,,,2B,Double,double,,False,,,False,False,False,False,
776927,67,5,47a2a5f5-e56f-323f-b7be-9f4e77ae21b9,691406,Junior Caminero,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776927,68,1,38280872-fd2a-3d3d-9241-76b901a3173e,666139,Josh Lowe,,,,Pop Out,field_out,,True,1B,2,False,False,False,False,
776927,69,6,6c2aa1b4-de94-3910-9241-238023ca41fe,676356,Jonny DeLuca,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776928,0,5,73f01550-ed30-346e-9f59-7cb7ef7fe753,595777,Jurickson Profar,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
776928,1,0,8eece41a-c9f8-38ff-8aae-6d7b3733307b,621566,Matt Olson,,,1B,Single,single,,False,,,False,False,False,False,
776928,2,2,19444770-29a9-3ace-9ea0-7df8ee88d602,663586,Austin Riley,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776928,3,6,2a4201b1-ae13-322c-9740-0c808b0e1936,621566,Matt Olson,1B,1B,2B,Walk,walk,r_adv_force,False,,,False,False,False,False,
776928,3,6,2a4201b1-ae13-322c-9740-0c808b0e1936,542303,Marcell Ozuna,,,1B,Walk,walk,,False,,,False,False,False,False,
776928,4,2,d1500620-70d6-310d-8485-a586541f00f3,645277,Ozzie Albies,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
776928,5,5,d61a9b63-f679-38bd-8285-4b65236a770a,680574,Matt McLain,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
776928,6,1,5d22e8d1-40ed-3056-8eaa-3ac7ce8e2cc0,682622,Noelvi Marte,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776928,7,1,d9a588d6-b38c-376b-88af-d5adc8dd8ebb,682829,Elly De La Cruz,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776928,8,5,19bf9dac-5d15-3342-aa37-a4457615d07f,669221,Sean Murphy,,,1B,Walk,walk,,False,,,False,False,False,False,
776928,9,3,a40a4beb-b071-3f2b-b414-385a6b21d311,671739,Michael Harris II,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
776928,10,3,2aad2b53-bed5-3541-b459-86c83a360271,642201,Eli White,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
776928,11,4,ad495c6a-3a07-3a49-8d42-5072435b4fe1,669397,Nick Allen,,,,Pop Out,field_out,,True,1B,3,False,False,False,False,
776928,12,0,20ec5b06-37f4-3f23-a23b-3f033e020eab,669720,Austin Hays,,,,Groundout,field_out,,True,1B,1,False,False,False,False,
776928,13,1,f4876454-32ac-3a19-8736-8695f3479cb5,668715,Spencer Steer,,,,Flyout,field_out,,True,1B,2,False,False,False,False,
776928,14,5,2e1e4150-1be7-3a3b-a03e-01ba2a09da43,641584,Jake Fraley,,,1B,Walk,walk,,False,,,False,False,False,False,
776928,15,2,10cf14ca-453c-3edf-8838-87d968ac57bd,663886,Tyler Stephenson,,,2B,Double,double,,False,,,False,False,False,False,
776928,15,2,10cf14ca-453c-3edf-8838-87d968ac57bd,641584,Jake Fraley,1B,1B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
776928,15,2,10cf14ca-453c-3edf-8838-87d968ac57bd,641584,Jake Fraley,1B,3B,score,Double,double,r_adv_play,False,,,True,True,True,False,471911
776928,16,1,a1717c3a-2fdb-3717-a0f3-257d4f5eaab6,666181,Will Benson,,,,Pop Out,field_out,,True,1B,3,False,False,False,False,
776928,17,4,c4c1b9a1-2a78-3ca8-bfdb-21de544d6d24,595777,Jurickson Profar,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
776928,18,1,addc3383-b393-3373-9ccc-54550e1fecbe,621566,Matt Olson,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
776928,19,5,72aeca86-a9d2-302d-ae8e-dbe0e751c0ac,663586,Austin Riley,,,,Flyout,field_out,,True,1B,3,False,False,False,False,
776928,20,1,310f3b15-34a0-3807-88a2-d4857a7f3094,663647,Ke'Bryan Hayes,,,,Lineout,field_out,,True,1B,1,False,False,False,False,
776928,21,6,0755b0d3-cfa6-3f56-a893-7c08e8880dbc,680574,Matt McLain,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
776928,22,1,e17d4a6c-20a8-3899-9ccd-0e32118ed614,682622,Noelvi Marte,,,1B,Single,single,,False,,,False,False,False,False,
776928,23,2,95c226f9-e177-366c-bef5-0868d3dfe26c,682829,Elly De La Cruz,,,score,Home Run,home_run,,False,,,True,True,True,False,471911
776928,23,2,95c226f9-e177-366c-bef5-0868d3dfe26c,682622,Noelvi Marte,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,471911
776928,24,2,539dc239-6776-338d-841c-611359ccdb99,669720,Austin Hays,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
776928,25,3,c24130d4-b5dd-3860-a0ff-120954cd0661,542303,Marcell Ozuna,,,1B,Single,single,,False,,,False,False,False,False,
776928,26,1,064e3724-b7f2-303c-8b28-cd66d9eb3482,645277,Ozzie Albies,,,2B,Double,double,,False,,,False,False,False,False,
776928,26,1,064e3724-b7f2-303c-8b28-cd66d9eb3482,542303,Marcell Ozuna,1B,1B,3B,Double,double,r_adv_force,False,,,False,False,False,False,
776928,27,5,1b760996-1bc4-34ff-acb4-114f2489f45b,669221,Sean Murphy,,,1B,Walk,walk,,False,,,False,False,False,False,
776928,28,1,a36788ee-1f18-3ffd-8ffb-b4927951e283,671739,Michael Harris II,,,1B,Single,single,,False,,,False,False,False,False,
776928,28,1,a36788ee-1f18-3ffd-8ffb-b4927951e283,542303,Marcell Ozuna,3B,3B,score,Single,single,r_adv_force,False,,,True,True,True,False,671096
776928,28,1,a36788ee-1f18-3ffd-8ffb-b4927951e283,645277,Ozzie Albies,2B,2B,3B,Single,single,r_adv_force,False,,,False,False,False,False,
