gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777753,2025-05-27T22:10:00Z,2025-05-27,1,R,F,Final,119,Los Angeles Dodgers,9,114,Cleveland Guardians,5,5,Progressive Field,9
777754,2025-05-27T22:35:00Z,2025-05-27,1,R,F,Final,138,St. Louis Cardinals,7,110,Baltimore Orioles,4,2,Oriole Park at Camden Yards,9
777755,2025-05-27T22:40:00Z,2025-05-27,1,R,F,Final,137,San Francisco Giants,1,116,Detroit Tigers,3,2394,Comerica Park,9
777748,2025-05-27T22:45:00Z,2025-05-27,1,R,F,Final,144,Atlanta Braves,0,143,Philadelphia Phillies,2,2681,Citizens Bank Park,9
777746,2025-05-27T23:05:00Z,2025-05-27,1,R,F,Final,142,Minnesota Twins,4,139,Tampa Bay Rays,2,2523,George M. Steinbrenner Field,9
777749,2025-05-27T23:10:00Z,2025-05-27,1,R,F,Final,145,Chicago White Sox,4,121,New York Mets,6,3289,Citi Field,9
777750,2025-05-27T23:40:00Z,2025-05-27,1,R,F,Final,113,Cincinnati Reds,7,118,Kansas City Royals,2,7,Kauffman Stadium,9
777747,2025-05-27T23:40:00Z,2025-05-27,1,R,F,Final,111,Boston Red Sox,1,158,Milwaukee Brewers,5,32,American Family Field,9
777751,2025-05-28T00:05:00Z,2025-05-27,1,R,F,Final,115,Colorado Rockies,3,112,Chicago Cubs,4,17,Wrigley Field,9
777741,2025-05-28T00:05:00Z,2025-05-27,1,R,F,Final,141,Toronto Blue Jays,0,140,Texas Rangers,2,5325,Globe Life Field,9
777752,2025-05-28T00:10:00Z,2025-05-27,1,R,F,Final,133,Athletics,1,117,Houston Astros,11,2392,Daikin Park,9
777745,2025-05-28T01:38:00Z,2025-05-27,1,R,F,Final,147,New York Yankees,3,108,Los Angeles Angels,2,1,Angel Stadium,9
777744,2025-05-28T01:40:00Z,2025-05-27,1,R,F,Final,134,Pittsburgh Pirates,9,109,Arizona Diamondbacks,6,15,Chase Field,9
777743,2025-05-28T01:40:00Z,2025-05-27,1,R,F,Final,120,Washington Nationals,1,136,Seattle Mariners,9,680,T-Mobile Park,9
777742,2025-05-28T01:40:00Z,2025-05-27,1,R,F,Final,146,Miami Marlins,6,135,San Diego Padres,8,2680,Petco Park,9
