gamePk,atBatIndex,playIndex,playId,runnerid,runnerfullName,originBase,start,end,event,eventType,movementReason,isOut,outBase,outNumber,isScoringEvent,rbi,earned,teamUnearned,responsiblepitcherid
777068,0,6,e693b349-c977-394b-bca0-1afd5b93b678,702616,Jackson Holliday,,,1B,Single,single,,False,,,False,False,False,False,
777068,1,5,b5fa3b74-60a6-3e56-9d98-3dd0be8d80ee,676059,Jordan Westburg,,,1B,Single,single,,False,,,False,False,False,False,
777068,1,5,b5fa3b74-60a6-3e56-9d98-3dd0be8d80ee,702616,Jackson Holliday,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
777068,2,1,ec943bfe-f7ee-3c84-ac2d-ce068ec87ab2,683002,Gunnar Henderson,,,1B,Single,single,,False,,,False,False,False,False,
777068,2,1,ec943bfe-f7ee-3c84-ac2d-ce068ec87ab2,702616,Jackson Holliday,2B,2B,3B,Single,single,r_adv_force,False,,,False,False,False,False,
777068,2,1,ec943bfe-f7ee-3c84-ac2d-ce068ec87ab2,702616,Jackson Holliday,2B,3B,score,Single,single,r_adv_play,False,,,True,True,True,False,676440
777068,2,1,ec943bfe-f7ee-3c84-ac2d-ce068ec87ab2,676059,Jordan Westburg,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
777068,2,1,ec943bfe-f7ee-3c84-ac2d-ce068ec87ab2,676059,Jordan Westburg,1B,2B,3B,Single,single,r_adv_play,False,,,False,False,False,False,
777068,3,2,0dd07194-8987-3eba-887b-40e1282ca5c6,656811,Ryan O'Hearn,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
777068,4,3,4e32adc7-cbae-3da8-a20f-a4383613af9e,683002,Gunnar Henderson,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
777068,4,6,930bf030-e7db-3e42-9d92-71eeefdda92f,657656,Ramón Laureano,,,1B,Single,single,,False,,,False,False,False,False,
777068,4,6,930bf030-e7db-3e42-9d92-71eeefdda92f,683002,Gunnar Henderson,2B,2B,score,Single,single,r_adv_play,False,,,True,True,True,False,676440
777068,4,6,930bf030-e7db-3e42-9d92-71eeefdda92f,676059,Jordan Westburg,3B,3B,score,Single,single,r_adv_play,False,,,True,True,True,False,676440
777068,5,1,1de7a245-40d2-3dea-9639-f7f1e1714f3f,657656,Ramón Laureano,1B,1B,,Forceout,force_out,r_force_out,True,2B,2,False,False,False,False,
777068,5,1,1de7a245-40d2-3dea-9639-f7f1e1714f3f,681297,Colton Cowser,,,1B,Forceout,force_out,,False,,,False,False,False,False,
777068,6,1,f011aff5-9e5a-3ca3-bef1-6c4551d1689b,681297,Colton Cowser,1B,1B,2B,Stolen Base 2B,stolen_base_2b,r_stolen_base_2b,False,,,False,False,False,False,
777068,6,4,9254fee8-9652-3585-8129-52c06a517015,641933,Tyler O'Neill,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
777068,7,4,3c9d894e-1e60-35d2-8cb2-f5090d138fd3,680757,Steven Kwan,,,1B,Walk,walk,,False,,,False,False,False,False,
777068,8,3,c0d8cade-bbae-32a3-aad2-5ba741a47d30,682657,Angel Martínez,,,1B,Single,single,,False,,,False,False,False,False,
777068,8,3,c0d8cade-bbae-32a3-aad2-5ba741a47d30,680757,Steven Kwan,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
777068,9,3,20d34752-62ed-36ee-ab92-11e8bf80774b,608070,José Ramírez,,,score,Home Run,home_run,,False,,,True,True,True,False,608372
777068,9,3,20d34752-62ed-36ee-ab92-11e8bf80774b,680757,Steven Kwan,2B,2B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,608372
777068,9,3,20d34752-62ed-36ee-ab92-11e8bf80774b,682657,Angel Martínez,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,True,False,608372
777068,10,1,13efb033-cb20-3764-bc74-059efa0beb95,700932,Kyle Manzardo,,,2B,Double,double,,False,,,False,False,False,False,
777068,11,5,c7c11daf-bf90-3481-9e62-3dcc7ab6b9a6,467793,Carlos Santana,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
777068,12,3,1e702773-d277-3af6-99af-ca7768e43d8e,666134,Nolan Jones,,,,Strikeout,strikeout,,True,1B,2,False,False,False,False,
777068,13,1,0731d55a-ff70-3104-9629-bf1cbc94f4ee,700932,Kyle Manzardo,2B,2B,3B,Wild Pitch,wild_pitch,r_adv_play,False,,,False,False,False,False,
777068,13,2,a7d85681-5e01-3b13-ba69-d934a88986cd,682177,Daniel Schneemann,,,,Lineout,field_out,,True,1B,3,False,False,False,False,
777068,14,2,93c15e97-fbbe-3b5a-8b0e-d76adc7ec50b,656775,Cedric Mullins,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
777068,15,1,22f25f44-ddba-3927-853e-9fd0f5be98df,656577,Alex Jackson,,,,Lineout,field_out,,True,1B,2,False,False,False,False,
777068,16,3,53d15ac3-1e1a-349e-8483-4a0198795170,702616,Jackson Holliday,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
777068,17,3,bff7d58c-dc9b-3877-833f-1d6661b60828,677587,Brayan Rocchio,,,1B,Single,single,,False,,,False,False,False,False,
777068,18,6,2f13f8a0-b389-3838-93ed-1e3eba628acc,666310,Bo Naylor,,,1B,Single,single,,False,,,False,False,False,False,
777068,18,6,2f13f8a0-b389-3838-93ed-1e3eba628acc,677587,Brayan Rocchio,1B,1B,2B,Single,single,r_adv_force,False,,,False,False,False,False,
777068,18,6,2f13f8a0-b389-3838-93ed-1e3eba628acc,677587,Brayan Rocchio,1B,2B,3B,Single,single,r_adv_play,False,,,False,False,False,False,
777068,19,5,b869991d-1a10-3212-bc54-7a886a9c5e15,666310,Bo Naylor,1B,1B,2B,Walk,walk,r_adv_force,False,,,False,False,False,False,
777068,19,5,b869991d-1a10-3212-bc54-7a886a9c5e15,680757,Steven Kwan,,,1B,Walk,walk,,False,,,False,False,False,False,
777068,20,7,6f24e957-bab1-34d4-986d-a351f6d770dd,682657,Angel Martínez,,,,Pop Out,field_out,,True,1B,1,False,False,False,False,
777068,21,0,f95bb6a2-b7f2-31ce-92d8-bf7aa71ff82c,608070,José Ramírez,,,,Pop Out,field_out,,True,1B,2,False,False,False,False,
777068,22,1,f2407cf2-3791-3277-a960-b6696d8924a5,700932,Kyle Manzardo,,,,Groundout,field_out,,True,1B,3,False,False,False,False,
777068,23,2,79169a59-fee0-3618-b36d-f268271f43ff,676059,Jordan Westburg,,,,Strikeout,strikeout,,True,1B,1,False,False,False,False,
777068,24,0,5bd3a3c7-47e9-30fb-9ef3-466fc06c9e81,683002,Gunnar Henderson,,,,Groundout,field_out,,True,1B,2,False,False,False,False,
777068,25,1,d5f6d365-b088-3de4-ac98-137a2d413e3b,656811,Ryan O'Hearn,,,1B,Field Error,field_error,,False,,,False,False,False,False,
777068,26,6,ea710bf2-3b3d-3723-9567-6936fb30c2e9,657656,Ramón Laureano,,,score,Home Run,home_run,,False,,,True,True,False,True,676440
777068,26,6,ea710bf2-3b3d-3723-9567-6936fb30c2e9,656811,Ryan O'Hearn,1B,1B,score,Home Run,home_run,r_adv_force,False,,,True,True,False,True,676440
777068,27,3,767ba25a-8561-3960-b56b-fa76f5412f2d,681297,Colton Cowser,,,,Strikeout,strikeout,,True,1B,3,False,False,False,False,
777068,28,2,4eac1881-a5aa-3317-8df6-9f77f7df16b6,467793,Carlos Santana,,,,Flyout,field_out,,True,1B,1,False,False,False,False,
