gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777068,1,0,110,3,4,0,1
777068,1,1,114,3,3,0,1
777068,2,0,110,0,0,0,0
777068,2,1,114,0,2,0,3
777068,3,0,110,2,1,0,0
777068,3,1,114,0,0,1,2
777068,4,0,110,0,0,1,0
777068,4,1,114,1,1,0,2
777068,5,0,110,0,1,0,0
777068,5,1,114,1,1,0,2
777068,6,0,110,0,0,0,0
777068,6,1,114,1,3,0,2
777068,7,0,110,0,0,1,0
777068,7,1,114,4,3,0,2
777068,8,0,110,0,0,0,0
777068,8,1,114,0,1,0,1
777068,9,0,110,0,0,0,0
777068,9,1,114,,0,0,0
777060,1,0,116,0,0,0,0
777060,1,1,134,0,2,0,2
777060,2,0,116,0,0,0,0
777060,2,1,134,3,3,0,2
777060,3,0,116,0,2,0,2
777060,3,1,134,0,1,0,2
777060,4,0,116,0,1,0,2
777060,4,1,134,0,1,0,0
777060,5,0,116,0,0,0,1
777060,5,1,134,0,0,0,0
777060,6,0,116,0,0,0,0
777060,6,1,134,0,2,0,2
777060,7,0,116,0,0,0,1
777060,7,1,134,0,0,0,0
777060,8,0,116,0,1,0,1
777060,8,1,134,0,0,0,0
777060,9,0,116,0,1,0,1
777060,9,1,134,,0,0,0
777062,1,0,135,0,1,0,1
777062,1,1,146,0,2,0,1
777062,2,0,135,2,3,0,2
777062,2,1,146,0,2,0,2
777062,3,0,135,0,0,0,0
777062,3,1,146,0,1,0,1
777062,4,0,135,0,0,0,1
777062,4,1,146,1,1,0,0
777062,5,0,135,0,1,0,1
777062,5,1,146,0,1,0,1
777062,6,0,135,0,0,0,1
777062,6,1,146,0,0,0,0
777062,7,0,135,0,0,0,0
777062,7,1,146,0,0,0,0
777062,8,0,135,0,0,0,0
777062,8,1,146,0,1,0,0
777062,9,0,135,0,0,0,0
777062,9,1,146,0,1,0,1
777064,1,0,113,0,1,0,1
777064,1,1,120,4,3,0,1
777064,2,0,113,0,0,0,0
777064,2,1,120,0,0,0,0
777064,3,0,113,0,1,0,1
777064,3,1,120,3,4,0,2
777064,4,0,113,5,4,0,1
777064,4,1,120,1,2,0,3
777064,5,0,113,1,1,0,3
777064,5,1,120,0,0,0,1
777064,6,0,113,0,0,0,0
777064,6,1,120,2,3,0,2
777064,7,0,113,0,0,0,0
777064,7,1,120,0,1,0,2
777064,8,0,113,0,0,0,1
777064,8,1,120,0,2,0,3
777064,9,0,113,2,2,0,1
777064,9,1,120,,0,0,0
777063,1,0,111,1,1,0,0
777063,1,1,143,0,1,0,1
777063,2,0,111,0,1,0,1
777063,2,1,143,0,1,0,0
777063,3,0,111,0,1,0,1
777063,3,1,143,0,1,0,0
777063,4,0,111,0,1,0,0
777063,4,1,143,2,3,0,1
777063,5,0,111,0,0,0,0
777063,5,1,143,0,0,0,1
777063,6,0,111,1,3,0,2
777063,6,1,143,0,0,0,0
777063,7,0,111,0,0,0,1
777063,7,1,143,0,0,0,0
777063,8,0,111,0,1,0,1
777063,8,1,143,0,1,0,1
777063,9,0,111,0,0,0,1
777063,9,1,143,0,0,0,0
777063,10,0,111,0,0,0,1
777063,10,1,143,1,0,0,3
777066,1,0,147,0,0,0,0
777066,1,1,141,0,0,0,0
777066,2,0,147,0,1,0,1
777066,2,1,141,0,1,0,3
777066,3,0,147,0,1,0,2
777066,3,1,141,0,0,0,1
777066,4,0,147,1,1,0,0
777066,4,1,141,0,2,0,3
777066,5,0,147,0,1,2,1
777066,5,1,141,4,3,1,1
777066,6,0,147,0,0,0,1
777066,6,1,141,0,0,0,1
777066,7,0,147,0,0,0,0
777066,7,1,141,0,0,0,0
777066,8,0,147,0,1,0,2
777066,8,1,141,0,0,0,0
777066,9,0,147,0,0,0,0
777066,9,1,141,,0,0,0
777061,1,0,108,0,0,0,1
777061,1,1,121,0,0,0,0
777061,2,0,108,1,1,0,0
777061,2,1,121,0,2,0,2
777061,3,0,108,3,3,0,2
777061,3,1,121,0,0,1,1
777061,4,0,108,0,1,0,1
777061,4,1,121,2,1,0,1
777061,5,0,108,0,0,0,0
777061,5,1,121,0,0,0,0
777061,6,0,108,0,1,0,1
777061,6,1,121,0,0,0,1
777061,7,0,108,1,2,0,2
777061,7,1,121,3,2,0,1
777061,8,0,108,0,1,1,1
777061,8,1,121,2,1,0,1
777061,9,0,108,0,0,0,0
777061,9,1,121,,0,0,0
777069,1,0,137,1,2,0,2
777069,1,1,144,5,2,0,2
777069,2,0,137,1,2,1,1
777069,2,1,144,0,0,0,0
777069,3,0,137,0,1,1,1
777069,3,1,144,0,1,0,1
777069,4,0,137,0,1,0,1
777069,4,1,144,3,3,0,1
777069,5,0,137,1,2,0,2
777069,5,1,144,0,0,0,0
777069,6,0,137,0,1,0,2
777069,6,1,144,1,2,0,1
777069,7,0,137,1,1,0,0
777069,7,1,144,0,0,0,0
777069,8,0,137,0,0,0,0
777069,8,1,144,0,0,0,2
777069,9,0,137,1,2,0,1
777069,9,1,144,,0,0,0
777059,1,0,145,0,1,1,1
777059,1,1,139,0,2,0,2
777059,2,0,145,3,3,0,0
777059,2,1,139,0,0,0,2
777059,3,0,145,3,2,0,1
777059,3,1,139,0,0,0,0
777059,4,0,145,0,0,1,0
777059,4,1,139,2,1,0,1
777059,5,0,145,2,3,0,0
777059,5,1,139,0,0,0,2
777059,6,0,145,0,0,0,0
777059,6,1,139,0,1,0,1
777059,7,0,145,0,1,0,2
777059,7,1,139,1,1,0,0
777059,8,0,145,0,0,0,0
777059,8,1,139,0,0,0,0
777059,9,0,145,0,1,0,1
777059,9,1,139,0,0,0,0
777065,1,0,118,0,0,0,0
777065,1,1,112,0,0,0,0
777065,2,0,118,1,1,0,0
777065,2,1,112,4,4,0,0
777065,3,0,118,0,0,0,0
777065,3,1,112,0,2,0,2
777065,4,0,118,2,2,0,0
777065,4,1,112,0,1,0,1
777065,5,0,118,4,4,0,0
777065,5,1,112,0,0,1,0
777065,6,0,118,0,0,0,0
777065,6,1,112,0,0,0,0
777065,7,0,118,1,2,0,1
777065,7,1,112,0,0,0,0
777065,8,0,118,4,5,0,2
777065,8,1,112,0,1,0,2
777065,9,0,118,0,0,0,0
777065,9,1,112,0,1,0,1
777057,1,0,133,0,0,0,1
777057,1,1,140,0,0,0,1
777057,2,0,133,0,0,0,0
777057,2,1,140,0,0,0,0
777057,3,0,133,0,0,0,0
777057,3,1,140,1,1,0,0
777057,4,0,133,1,2,0,2
777057,4,1,140,0,0,0,0
777057,5,0,133,0,0,0,1
777057,5,1,140,4,3,0,0
777057,6,0,133,1,1,0,1
777057,6,1,140,0,0,0,0
777057,7,0,133,0,1,0,2
777057,7,1,140,2,3,0,1
777057,8,0,133,0,1,0,1
777057,8,1,140,0,0,0,0
777057,9,0,133,0,0,0,1
777057,9,1,140,,0,0,0
777053,1,0,138,0,2,0,2
777053,1,1,115,0,1,0,1
777053,2,0,138,0,0,0,0
777053,2,1,115,0,2,0,1
777053,3,0,138,0,0,1,0
777053,3,1,115,2,3,0,0
777053,4,0,138,2,3,0,1
777053,4,1,115,0,0,0,0
777053,5,0,138,1,2,0,1
777053,5,1,115,0,0,0,0
777053,6,0,138,2,4,0,2
777053,6,1,115,0,0,0,0
777053,7,0,138,1,3,0,3
777053,7,1,115,0,1,0,1
777053,8,0,138,0,0,0,0
777053,8,1,115,0,1,0,1
777053,9,0,138,0,1,0,1
777053,9,1,115,0,0,0,1
777055,1,0,117,0,0,0,0
777055,1,1,109,1,3,0,2
777055,2,0,117,3,2,0,0
777055,2,1,109,0,1,0,1
777055,3,0,117,1,2,0,1
777055,3,1,109,1,1,0,0
777055,4,0,117,0,0,0,0
777055,4,1,109,0,1,0,1
777055,5,0,117,0,1,1,1
777055,5,1,109,1,0,0,0
777055,6,0,117,0,0,0,0
777055,6,1,109,0,1,0,3
777055,7,0,117,2,3,0,0
777055,7,1,109,0,0,0,0
777055,8,0,117,0,1,0,1
777055,8,1,109,0,1,0,2
777055,9,0,117,0,1,0,1
777055,9,1,109,0,0,0,2
777050,1,0,158,0,0,0,0
777050,1,1,136,0,0,0,0
777050,2,0,158,0,0,0,0
777050,2,1,136,0,0,0,1
777050,3,0,158,0,0,0,1
777050,3,1,136,0,1,0,1
777050,4,0,158,0,0,0,0
777050,4,1,136,0,0,0,0
777050,5,0,158,0,0,0,0
