gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
776591,2025-08-26T22:35:00Z,2025-08-26,1,R,F,Final,111,Boston Red Sox,5,110,Baltimore Orioles,0,2,Oriole Park at Camden Yards,9
776584,2025-08-26T22:40:00Z,2025-08-26,1,R,F,Final,139,Tampa Bay Rays,0,114,Cleveland Guardians,3,5,Progressive Field,9
776581,2025-08-26T22:40:00Z,2025-08-26,1,R,F,Final,144,Atlanta Braves,11,146,Miami Marlins,2,4169,loanDepot park,9
776588,2025-08-26T23:05:00Z,2025-08-26,1,R,F,Final,120,Washington Nationals,1,147,New York Yankees,5,3313,Yankee Stadium,9
776582,2025-08-26T23:07:00Z,2025-08-26,1,R,F,Final,142,Minnesota Twins,7,141,Toronto Blue Jays,5,14,Rogers Centre,9
776585,2025-08-26T23:10:00Z,2025-08-26,1,R,F,Final,143,Philadelphia Phillies,5,121,New York Mets,6,3289,Citi Field,9
776583,2025-08-26T23:40:00Z,2025-08-26,1,R,F,Final,118,Kansas City Royals,5,145,Chicago White Sox,4,4,Rate Field,9
776586,2025-08-26T23:40:00Z,2025-08-26,1,R,F,Final,109,Arizona Diamondbacks,8,158,Milwaukee Brewers,9,32,American Family Field,9
776578,2025-08-26T23:45:00Z,2025-08-26,1,R,F,Final,134,Pittsburgh Pirates,8,138,St. Louis Cardinals,3,2889,Busch Stadium,9
776575,2025-08-27T00:05:00Z,2025-08-26,1,R,F,Final,108,Los Angeles Angels,3,140,Texas Rangers,7,5325,Globe Life Field,9
776587,2025-08-27T00:10:00Z,2025-08-26,1,R,F,Final,115,Colorado Rockies,6,117,Houston Astros,1,2392,Daikin Park,9
776577,2025-08-27T01:40:00Z,2025-08-26,1,R,F,Final,135,San Diego Padres,7,136,Seattle Mariners,6,680,T-Mobile Park,9
776576,2025-08-27T01:45:00Z,2025-08-26,1,R,F,Final,112,Chicago Cubs,2,137,San Francisco Giants,5,2395,Oracle Park,9
776573,2025-08-27T02:05:00Z,2025-08-26,1,R,F,Final,116,Detroit Tigers,6,133,Athletics,7,2529,Sutter Health Park,9
776574,2025-08-27T02:10:00Z,2025-08-26,1,R,F,Final,113,Cincinnati Reds,3,119,Los Angeles Dodgers,6,22,Dodger Stadium,9
